"",BBK01.OEBM04J,BBK01.OEBM04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:37,
2002-01,0.049,
2002-04,0.037,
2002-07,0.033,
2002-10,0.029,
2003-01,0.026,
2003-04,0.011,
2003-07,0.036,
2003-10,0.044,
2004-01,0.024,
2004-04,0.025,
2004-07,0.017,
2004-10,0.010,
2005-01,0.016,
2005-04,0.009,
2005-07,0.017,
2005-10,0.028,
2006-01,0.013,
2006-04,0.016,
2006-07,0.021,
2006-10,0.029,
2007-01,0.030,
2007-04,0.025,
2007-07,0.017,
2007-10,0.029,
2008-01,0.026,
2008-04,0.025,
2008-07,0.030,
2008-10,0.047,
2009-01,0.044,
2009-04,0.032,
2009-07,0.028,
2009-10,0.039,
2010-01,0.036,
2010-04,0.031,
2010-07,0.035,
2010-10,0.030,
2011-01,0.033,
2011-04,0.040,
2011-07,0.055,
2011-10,0.051,
2012-01,0.051,
2012-04,0.062,
2012-07,0.064,
2012-10,0.083,
2013-01,0.071,
2013-04,0.065,
2013-07,0.115,
2013-10,0.080,
2014-01,0.452,
2014-04,0.421,
2014-07,0.472,
