"",BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:59,
1991-01,-0.735,
1991-04,1.310,
1991-07,1.310,
1991-10,1.310,
1992-01,-37.143,
1992-04,-37.143,
1992-07,-37.143,
1992-10,-37.143,
1993-01,-6.856,
1993-04,-6.856,
1993-07,-6.856,
1993-10,-6.856,
1994-01,-6.455,
1994-04,-6.455,
1994-07,-6.455,
1994-10,-12.590,
1995-01,-0.035,
1995-04,-0.035,
1995-07,-1.411,
1995-10,-0.035,
1996-01,-25.545,
1996-04,-23.097,
1996-07,-23.097,
1996-10,-23.097,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-,Nothing exists
1999-04,1.000,
1999-07,-,Nothing exists
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,2.000,
2001-01,-59.904,
2001-04,-75.324,
2001-07,-75.324,
2001-10,-61.905,
2002-01,6.872,
2002-04,8.425,
2002-07,9.114,
2002-10,10.510,
2003-01,-1.216,
2003-04,-1.455,
2003-07,-1.581,
2003-10,-1.825,
2004-01,16.918,
2004-04,16.685,
2004-07,17.850,
2004-10,18.551,
2005-01,9.181,
2005-04,9.057,
2005-07,9.691,
2005-10,10.072,
2006-01,11.313,
2006-04,11.188,
2006-07,11.619,
2006-10,16.560,
2007-01,64.474,
2007-04,59.603,
2007-07,49.868,
2007-10,30.264,
2008-01,121.581,
2008-04,-70.700,
2008-07,-119.361,
2008-10,-37.497,
2009-01,-4.594,
2009-04,-8.201,
2009-07,-26.600,
2009-10,-44.199,
2010-01,9.411,
2010-04,20.746,
2010-07,18.910,
2010-10,21.768,
2011-01,0.741,
2011-04,-0.276,
2011-07,0.742,
2011-10,0.795,
2012-01,0.727,
2012-04,-4.072,
2012-07,0.936,
2012-10,-2.090,
2013-01,-0.001,
2013-04,-,Nothing exists
2013-07,-0.001,
2013-10,-0.999,
2014-01,-3.399,Provisional value
2014-04,-0.202,Provisional value
2014-07,-9.998,Provisional value
2014-10,-10.349,Provisional value
