"",BBK01.OEYB11G,BBK01.OEYB11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:25,
2002-01,6.277,
2002-04,5.608,
2002-07,5.883,
2002-10,6.473,
2003-01,6.039,
2003-04,5.875,
2003-07,5.731,
2003-10,5.712,
2004-01,5.695,
2004-04,5.793,
2004-07,5.614,
2004-10,5.307,
2005-01,5.076,
2005-04,4.689,
2005-07,5.508,
2005-10,5.113,
2006-01,5.388,
2006-04,5.170,
2006-07,5.310,
2006-10,4.989,
2007-01,5.098,
2007-04,4.940,
2007-07,5.214,
2007-10,5.332,
2008-01,4.806,
2008-04,5.015,
2008-07,5.808,
2008-10,6.267,
2009-01,8.840,
2009-04,9.198,
2009-07,10.414,
2009-10,9.287,
2010-01,8.972,
2010-04,8.455,
2010-07,7.955,
2010-10,8.057,
2011-01,8.123,
2011-04,7.276,
2011-07,7.634,
2011-10,7.819,
2012-01,7.186,
2012-04,6.892,
2012-07,6.612,
2012-10,7.215,
2013-01,7.070,
2013-04,6.589,
2013-07,5.504,
2013-10,5.559,
2014-01,5.331,
2014-04,5.265,
2014-07,5.241,
