"",BBK01.WT4203,BBK01.WT4203_FLAGS
"","DE0001137495 / Prices / 0,000 BSA 15",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 12:38:34,
2015-02-11,100.445,
2015-02-12,100.460,
2015-02-13,100.445,
2015-02-14,.,No value available
2015-02-15,.,No value available
2015-02-16,100.460,
2015-02-17,100.465,
2015-02-18,100.460,
2015-02-19,100.455,
2015-02-20,100.450,
2015-02-21,.,No value available
2015-02-22,.,No value available
2015-02-23,100.435,
2015-02-24,100.450,
2015-02-25,100.450,
2015-02-26,100.485,
2015-02-27,100.485,
"",General: BSA = Federal Treasury note (Schatz),
