"",BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:50,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,117.221,
1993-04,35.340,
1993-07,189.204,
1993-10,82.529,
1994-01,71.205,
1994-04,-67.676,
1994-07,-30.079,
1994-10,31.449,
1995-01,-16.458,
1995-04,189.639,
1995-07,108.073,
1995-10,176.382,
1996-01,19.135,
1996-04,3.605,
1996-07,58.117,
1996-10,61.451,
1997-01,92.043,
1997-04,-130.319,
1997-07,55.756,
1997-10,65.796,
1998-01,97.330,
1998-04,1358.038,
1998-07,461.525,
1998-10,854.574,
1999-01,215.433,
1999-04,241.553,
1999-07,383.807,
1999-10,94.128,
2000-01,493.320,
2000-04,168.166,
2000-07,204.583,
2000-10,290.615,
2001-01,209.439,
2001-04,266.814,
2001-07,572.362,
2001-10,602.947,
2002-01,626.195,
2002-04,1359.169,
2002-07,667.700,
2002-10,273.378,
2003-01,918.306,
2003-04,634.562,
2003-07,588.446,
2003-10,48.385,
2004-01,1071.636,
2004-04,281.352,
2004-07,336.571,
2004-10,675.446,
2005-01,721.688,
2005-04,407.402,
2005-07,296.661,
2005-10,264.193,
2006-01,321.495,
2006-04,527.991,
2006-07,290.572,
2006-10,402.513,
2007-01,183.092,
2007-04,277.258,
2007-07,373.525,
2007-10,264.558,
2008-01,-500.655,
2008-04,469.070,
2008-07,497.915,
2008-10,41.393,
2009-01,110.998,
2009-04,118.307,
2009-07,37.076,
2009-10,-78.387,
2010-01,-31.374,
2010-04,165.134,
2010-07,1062.231,
2010-10,-444.009,
2011-01,352.337,
2011-04,114.222,
2011-07,400.898,
2011-10,377.932,
2012-01,212.565,
2012-04,341.749,
2012-07,-482.182,
2012-10,116.790,
2013-01,428.146,
2013-04,334.212,
2013-07,1334.400,
2013-10,1627.699,
2014-01,560.001,Provisional value
2014-04,929.995,Provisional value
2014-07,702.993,Provisional value
2014-10,744.427,Provisional value
