"",BBEX3.M.MMK.USD.CA.AA.A01,BBEX3.M.MMK.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Myanmar / USD 1 = MMK ... (buying),
unit,MMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:12,
1990-01,6.4106,
1990-02,6.4591,
1990-03,6.5531,
1990-04,6.5346,
1990-05,6.4359,
1990-06,6.4345,
1990-07,6.2687,
1990-08,6.1486,
1990-09,6.1143,
1990-10,5.9410,
1990-11,5.9079,
1990-12,6.0202,
1991-01,5.9346,
1991-02,5.9945,
1991-03,6.3455,
1991-04,6.4128,
1991-05,6.3242,
1991-06,6.4516,
1991-07,6.3765,
1991-08,6.3572,
1991-09,6.2547,
1991-10,6.2282,
1991-11,6.1304,
1991-12,5.9542,
1992-01,6.0809,
1992-02,6.1563,
1992-03,6.2097,
1992-04,6.2037,
1992-05,6.1336,
1992-06,5.9236,
1992-07,5.9055,
1992-08,5.7540,
1992-09,5.8086,
1992-10,6.0511,
1992-11,6.1383,
1992-12,6.1798,
1993-01,6.1296,
1993-02,6.1590,
1993-03,6.1330,
1993-04,5.9911,
1993-05,5.9563,
1993-06,6.0986,
1993-07,6.1090,
1993-08,6.0494,
1993-09,5.9943,
1993-10,6.1170,
1993-11,6.1536,
1993-12,6.1837,
1994-01,6.1562,
1994-02,6.0962,
1994-03,6.0355,
1994-04,6.0127,
1994-05,6.0123,
1994-06,5.8654,
1994-07,5.8440,
1994-08,5.8694,
1994-09,5.8029,
1994-10,5.7049,
1994-11,5.8267,
1994-12,5.8445,
1995-01,5.7717,
1995-02,5.6881,
1995-03,5.4658,
1995-04,5.3866,
1995-05,5.4002,
1995-06,5.4501,
1995-07,5.4722,
1995-08,5.7342,
1995-09,5.6612,
1995-10,5.6812,
1995-11,5.7184,
1995-12,5.7238,
1996-01,5.8610,
1996-02,5.7745,
1996-03,5.8358,
1996-04,5.8542,
1996-05,5.8823,
1996-06,5.8974,
1996-07,5.8321,
1996-08,5.8309,
1996-09,5.8988,
1996-10,5.8920,
1996-11,5.8753,
1996-12,5.9284,
1997-01,6.1024,
1997-02,6.1261,
1997-03,6.1543,
1997-04,6.2386,
1997-05,6.1177,
1997-06,6.1127,
1997-07,6.2583,
1997-08,6.2576,
1997-09,6.2272,
1997-10,6.1485,
1997-11,6.2386,
1997-12,6.2997,
1998-01,6.2906,
1998-02,6.3259,
1998-03,6.3494,
1998-04,6.3218,
1998-05,6.3702,
1998-06,6.4025,
1998-07,6.3707,
1998-08,6.3987,
1998-09,6.1839,
1998-10,6.0374,
1998-11,6.1567,
1998-12,6.0482,
1999-01,6.1117,
1999-02,6.2360,
1999-03,6.2787,
1999-04,6.2889,
1999-05,6.3267,
1999-06,6.3621,
1999-07,6.2467,
1999-08,6.2505,
1999-09,6.1657,
1999-10,6.1393,
1999-11,6.1972,
1999-12,6.2062,
2000-01,6.2591,
2000-02,6.3542,
2000-03,6.3294,
2000-04,6.4109,
2000-05,6.4839,
2000-06,6.3664,
2000-07,6.4637,
2000-08,6.5061,
2000-09,6.5473,
2000-10,6.6657,
2000-11,6.6352,
2000-12,6.5332,
2001-01,6.5890,
2001-02,6.6099,
2001-03,6.7162,
2001-04,6.6862,
2001-05,6.7751,
2001-06,6.8206,
2001-07,6.7660,
2001-08,6.6339,
2001-09,6.5936,
2001-10,6.7034,
2001-11,6.7381,
2001-12,6.7825,
2002-01,6.8399,
2002-02,6.8570,
2002-03,6.8241,
2002-04,6.6993,
2002-05,6.5964,
2002-06,6.4430,
2002-07,6.4190,
2002-08,6.4142,
2002-09,6.4547,
2002-10,6.4458,
2002-11,6.4224,
2002-12,6.2812,
2003-01,6.1984,
2003-02,6.1948,
2003-03,6.2426,
2003-04,6.1849,
2003-05,6.0099,
2003-06,6.0696,
2003-07,6.0806,
2003-08,6.2058,
2003-09,6.0202,
2003-10,5.9174,
2003-11,5.9103,
2003-12,5.7478,
2004-01,5.7205,
2004-02,5.7475,
2004-03,5.7590,
2004-04,5.8618,
2004-05,5.7927,
2004-06,5.7976,
2004-07,5.8470,
2004-08,5.8359,
2004-09,5.7940,
2004-10,5.6960,
2004-11,5.5550,
2004-12,5.4970,
2005-01,5.5945,
2005-02,5.5809,
2005-03,5.6395,
2005-04,5.6215,
2005-05,5.7289,
2005-06,5.8311,
2005-07,5.8674,
2005-08,5.8274,
2005-09,5.8655,
2005-10,5.8591,
2005-11,5.9647,
2005-12,5.9304,
2006-01,5.8938,
2006-02,5.9353,
2006-03,5.9061,
2006-04,5.8147,
2006-05,5.6965,
2006-06,5.7989,
2006-07,5.7555,
2006-08,5.7241,
2006-09,5.7502,
2006-10,5.7406,
2006-11,5.6497,
2006-12,5.6604,
2007-01,5.7041,
2007-02,5.6520,
2007-03,5.6227,
2007-04,5.5796,
2007-05,5.6273,
2007-06,5.6186,
2007-07,5.5583,
2007-08,5.5586,
2007-09,5.4815,
2007-10,5.4234,
2007-11,5.3521,
2007-12,5.3903,
2008-01,5.3457,
2008-02,5.3093,
2008-03,5.1692,
2008-04,5.2342,
2008-05,5.2412,
2008-06,5.2201,
2008-07,5.2507,
2008-08,5.4129,
2008-09,5.4670,
2008-10,5.6594,
2008-11,5.6946,
2008-12,5.4971,
2009-01,5.6545,
2009-02,5.7775,
2009-03,5.7101,
2009-04,5.6786,
2009-05,5.5424,
2009-06,5.4882,
2009-07,5.4856,
2009-08,5.4405,
2009-09,5.3934,
2009-10,5.3606,
2009-11,5.2833,
2009-12,5.4472,
2010-01,5.4661,
2010-02,5.5557,
2010-03,5.5994,
2010-04,5.6409,
2010-05,5.7711,
2010-06,5.7679,
2010-07,5.5916,
2010-08,5.6380,
2010-09,5.4813,
2010-10,5.3924,
2010-11,5.5205,
2010-12,5.5249,
2011-01,5.4392,
2011-02,5.4209,
2011-03,5.3861,
2011-04,5.2532,
2011-05,5.3412,
2011-06,5.3268,
2011-07,5.3129,
2011-08,5.2902,
2011-09,5.4289,
2011-10,5.3279,
2011-11,5.4734,
2011-12,5.5596,
2012-01,5.4985,
2012-02,5.4725,
2012-03,5.5068,
"","General: * Until March 2012, in addition to the official published rates, there were other rates which deviated substantially from the official rates; however, we do not have any details. At the beginning of April 2012, a managed floating exchange rate regime was introduced; since then, reference rates have been published. Rates from April 2012, see BBEX2:A:MMK:USD:CA:AC:A01.",
"","Source: Central Bank of Myanmar, Nay Pyi Taw (until October 2009: Yangon)",
