"",BBK01.OEAA53H,BBK01.OEAA53H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:03,
2002-01,26.470,
2002-04,25.242,
2002-07,24.599,
2002-10,24.150,
2003-01,23.507,
2003-04,22.749,
2003-07,22.400,
2003-10,22.952,
2004-01,22.742,
2004-04,23.342,
2004-07,22.352,
2004-10,22.189,
2005-01,24.229,
2005-04,24.110,
2005-07,24.255,
2005-10,26.008,
2006-01,25.661,
2006-04,25.648,
2006-07,26.553,
2006-10,26.245,
2007-01,27.251,
2007-04,28.118,
2007-07,29.068,
2007-10,29.774,
2008-01,47.656,
2008-04,52.938,
2008-07,58.220,
2008-10,59.702,
2009-01,60.092,
2009-04,59.881,
2009-07,72.182,
2009-10,70.618,
2010-01,70.504,
2010-04,71.770,
2010-07,69.158,
2010-10,63.671,
2011-01,58.109,
2011-04,57.456,
2011-07,57.272,
2011-10,59.022,
2012-01,57.456,
2012-04,57.425,
2012-07,56.681,
2012-10,53.337,
2013-01,51.916,
2013-04,47.530,
2013-07,43.224,
2013-10,38.729,
2014-01,39.149,
2014-04,38.880,
2014-07,40.022,
