"",BBK01.OEAO02V,BBK01.OEAO02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:11,
2002-01,2.694,
2002-04,2.082,
2002-07,2.074,
2002-10,2.352,
2003-01,2.474,
2003-04,1.978,
2003-07,2.013,
2003-10,2.162,
2004-01,2.211,
2004-04,1.692,
2004-07,1.830,
2004-10,2.142,
2005-01,2.894,
2005-04,1.930,
2005-07,1.790,
2005-10,1.985,
2006-01,2.314,
2006-04,1.990,
2006-07,1.791,
2006-10,2.243,
2007-01,2.785,
2007-04,1.973,
2007-07,2.034,
2007-10,2.228,
2008-01,2.360,
2008-04,1.917,
2008-07,1.909,
2008-10,2.866,
2009-01,2.565,
2009-04,2.215,
2009-07,2.148,
2009-10,2.323,
2010-01,2.274,
2010-04,1.720,
2010-07,1.566,
2010-10,1.861,
2011-01,1.985,
2011-04,1.540,
2011-07,1.543,
2011-10,1.584,
2012-01,1.955,
2012-04,1.643,
2012-07,1.719,
2012-10,1.735,
2013-01,1.855,
2013-04,1.348,
2013-07,1.281,
2013-10,1.410,
2014-01,1.500,
2014-04,1.314,
2014-07,1.524,
