"",BBK01.OEGM03I,BBK01.OEGM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:21,
2002-01,6.812,
2002-04,6.959,
2002-07,6.953,
2002-10,6.893,
2003-01,7.276,
2003-04,7.036,
2003-07,6.490,
2003-10,6.793,
2004-01,6.763,
2004-04,7.328,
2004-07,1.251,
2004-10,1.160,
2005-01,1.337,
2005-04,1.516,
2005-07,1.401,
2005-10,1.190,
2006-01,1.747,
2006-04,1.542,
2006-07,1.045,
2006-10,1.356,
2007-01,1.066,
2007-04,0.624,
2007-07,1.777,
2007-10,0.822,
2008-01,0.910,
2008-04,1.236,
2008-07,1.288,
2008-10,1.205,
2009-01,1.198,
2009-04,1.280,
2009-07,1.117,
2009-10,1.167,
2010-01,1.492,
2010-04,1.550,
2010-07,1.431,
2010-10,1.168,
2011-01,1.144,
2011-04,1.208,
2011-07,1.898,
2011-10,1.923,
2012-01,2.179,
2012-04,2.394,
2012-07,1.239,
2012-10,2.421,
2013-01,1.809,
2013-04,2.816,
2013-07,2.819,
2013-10,2.747,
2014-01,2.539,
2014-04,3.160,
2014-07,3.152,
