"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.AU.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.AU.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Australia / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:10,
2009-09,2198,
2009-10,2218,
2009-11,2715,
2009-12,2717,
2010-01,2655,
2010-02,2779,
2010-03,2880,
2010-04,2908,
2010-05,2885,
2010-06,2728,
2010-07,2797,
2010-08,2794,
2010-09,2761,
2010-10,2768,
2010-11,2770,
2010-12,2743,
2011-01,2583,
2011-02,2567,
2011-03,2573,
2011-04,2688,
2011-05,2827,
2011-06,2759,
2011-07,2763,
2011-08,2748,
2011-09,2709,
2011-10,2668,
2011-11,2570,
2011-12,2565,
2012-01,3137,
2012-02,3360,
2012-03,3393,
2012-04,3608,
2012-05,3665,
2012-06,3639,
2012-07,3933,
2012-08,4059,
2012-09,3941,
2012-10,3810,
2012-11,3746,
2012-12,3972,
2013-01,3822,
2013-02,3920,
2013-03,3910,
2013-04,4007,
2013-05,4009,
2013-06,3829,
2013-07,3932,
2013-08,3896,
2013-09,3922,
2013-10,3960,
2013-11,4117,
2013-12,4075,
2014-01,4421,
2014-02,4401,
2014-03,4671,
2014-04,4744,
2014-05,4919,
2014-06,4897,
2014-07,4967,
2014-08,5061,
2014-09,5100,
2014-10,5333,
2014-11,5373,
