"",BBK01.OEYB05N,BBK01.OEYB05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:27,
2002-01,127.075,
2002-04,126.496,
2002-07,127.804,
2002-10,128.595,
2003-01,127.569,
2003-04,120.312,
2003-07,119.966,
2003-10,105.070,
2004-01,110.653,
2004-04,107.108,
2004-07,106.533,
2004-10,106.993,
2005-01,109.661,
2005-04,106.897,
2005-07,109.653,
2005-10,113.042,
2006-01,131.708,
2006-04,130.448,
2006-07,133.095,
2006-10,133.358,
2007-01,133.539,
2007-04,134.732,
2007-07,136.845,
2007-10,134.995,
2008-01,135.005,
2008-04,137.005,
2008-07,112.842,
2008-10,113.112,
2009-01,111.410,
2009-04,116.735,
2009-07,116.542,
2009-10,117.489,
2010-01,118.169,
2010-04,134.076,
2010-07,126.485,
2010-10,127.456,
2011-01,124.450,
2011-04,122.994,
2011-07,127.597,
2011-10,126.043,
2012-01,129.901,
2012-04,130.668,
2012-07,125.083,
2012-10,111.366,
2013-01,111.612,
2013-04,109.882,
2013-07,102.660,
2013-10,101.560,
2014-01,100.452,
2014-04,100.112,
2014-07,100.380,
