"",BBK01.OEAA13M,BBK01.OEAA13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:43,
2002-01,194.718,
2002-04,190.385,
2002-07,192.351,
2002-10,194.389,
2003-01,196.686,
2003-04,208.278,
2003-07,211.165,
2003-10,211.787,
2004-01,211.744,
2004-04,211.307,
2004-07,209.958,
2004-10,208.588,
2005-01,213.705,
2005-04,215.591,
2005-07,216.520,
2005-10,216.463,
2006-01,217.878,
2006-04,219.952,
2006-07,212.630,
2006-10,213.639,
2007-01,216.744,
2007-04,213.951,
2007-07,216.018,
2007-10,217.281,
2008-01,214.522,
2008-04,215.725,
2008-07,216.668,
2008-10,217.292,
2009-01,217.916,
2009-04,221.899,
2009-07,224.681,
2009-10,226.001,
2010-01,226.396,
2010-04,226.233,
2010-07,227.389,
2010-10,229.684,
2011-01,228.498,
2011-04,229.649,
2011-07,231.646,
2011-10,233.526,
2012-01,232.565,
2012-04,236.953,
2012-07,237.935,
2012-10,238.873,
2013-01,237.889,
2013-04,238.796,
2013-07,238.248,
2013-10,238.687,
2014-01,238.194,
2014-04,237.248,
2014-07,238.091,
