"",BBK01.OEAM02O,BBK01.OEAM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:19,
2002-01,0.372,
2002-04,0.357,
2002-07,0.442,
2002-10,0.303,
2003-01,0.252,
2003-04,0.404,
2003-07,0.142,
2003-10,0.170,
2004-01,0.044,
2004-04,0.023,
2004-07,-0.202,
2004-10,0.173,
2005-01,0.446,
2005-04,0.516,
2005-07,0.587,
2005-10,0.866,
2006-01,0.671,
2006-04,0.571,
2006-07,0.620,
2006-10,0.812,
2007-01,0.678,
2007-04,0.732,
2007-07,0.716,
2007-10,0.904,
2008-01,0.628,
2008-04,0.828,
2008-07,0.734,
2008-10,0.818,
2009-01,0.973,
2009-04,1.033,
2009-07,1.100,
2009-10,1.214,
2010-01,1.113,
2010-04,1.356,
2010-07,1.492,
2010-10,1.655,
2011-01,1.578,
2011-04,1.600,
2011-07,1.165,
2011-10,1.601,
2012-01,1.515,
2012-04,1.547,
2012-07,1.302,
2012-10,1.970,
2013-01,1.347,
2013-04,1.343,
2013-07,1.368,
2013-10,1.415,
2014-01,1.362,
2014-04,1.369,
2014-07,1.333,
