"",BBK01.OEAA33K,BBK01.OEAA33K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:06,
2002-01,43.349,
2002-04,43.540,
2002-07,44.850,
2002-10,45.272,
2003-01,44.006,
2003-04,40.313,
2003-07,41.512,
2003-10,40.915,
2004-01,42.512,
2004-04,43.431,
2004-07,43.917,
2004-10,45.847,
2005-01,44.736,
2005-04,44.847,
2005-07,45.009,
2005-10,44.937,
2006-01,44.370,
2006-04,44.219,
2006-07,43.840,
2006-10,43.585,
2007-01,41.964,
2007-04,41.559,
2007-07,40.456,
2007-10,39.901,
2008-01,39.349,
2008-04,38.854,
2008-07,38.405,
2008-10,38.248,
2009-01,37.653,
2009-04,38.642,
2009-07,38.619,
2009-10,38.031,
2010-01,37.466,
2010-04,36.967,
2010-07,36.877,
2010-10,37.006,
2011-01,36.311,
2011-04,36.224,
2011-07,36.003,
2011-10,35.905,
2012-01,35.585,
2012-04,35.478,
2012-07,35.121,
2012-10,34.892,
2013-01,34.843,
2013-04,34.651,
2013-07,34.075,
2013-10,33.850,
2014-01,33.697,
2014-04,33.604,
2014-07,33.427,
