"",BBK01.OEAA23P,BBK01.OEAA23P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:56,
2002-01,3.318,
2002-04,3.345,
2002-07,3.355,
2002-10,3.415,
2003-01,3.522,
2003-04,3.492,
2003-07,3.409,
2003-10,3.497,
2004-01,3.484,
2004-04,3.531,
2004-07,3.552,
2004-10,3.522,
2005-01,3.539,
2005-04,3.545,
2005-07,3.514,
2005-10,3.456,
2006-01,3.459,
2006-04,3.421,
2006-07,3.415,
2006-10,3.254,
2007-01,3.267,
2007-04,3.291,
2007-07,3.340,
2007-10,3.396,
2008-01,3.465,
2008-04,3.621,
2008-07,3.718,
2008-10,3.811,
2009-01,3.828,
2009-04,3.902,
2009-07,3.951,
2009-10,3.959,
2010-01,3.988,
2010-04,4.326,
2010-07,4.274,
2010-10,4.301,
2011-01,4.321,
2011-04,4.435,
2011-07,4.579,
2011-10,4.439,
2012-01,4.518,
2012-04,4.611,
2012-07,4.715,
2012-10,4.730,
2013-01,4.794,
2013-04,4.842,
2013-07,4.820,
2013-10,4.887,
2014-01,4.810,
2014-04,4.987,
2014-07,5.005,
