"",BBK01.OEAP03H,BBK01.OEAP03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:47,
2002-01,26.298,
2002-04,24.839,
2002-07,24.324,
2002-10,23.553,
2003-01,23.874,
2003-04,22.258,
2003-07,22.572,
2003-10,21.374,
2004-01,19.933,
2004-04,18.813,
2004-07,18.056,
2004-10,16.962,
2005-01,19.427,
2005-04,16.383,
2005-07,14.862,
2005-10,15.489,
2006-01,13.927,
2006-04,12.207,
2006-07,10.880,
2006-10,10.571,
2007-01,9.760,
2007-04,9.642,
2007-07,9.330,
2007-10,8.660,
2008-01,9.198,
2008-04,8.072,
2008-07,7.787,
2008-10,7.598,
2009-01,7.835,
2009-04,7.319,
2009-07,7.073,
2009-10,7.282,
2010-01,7.895,
2010-04,6.792,
2010-07,6.053,
2010-10,6.532,
2011-01,6.355,
2011-04,5.578,
2011-07,5.987,
2011-10,5.748,
2012-01,5.640,
2012-04,6.229,
2012-07,4.884,
2012-10,4.590,
2013-01,4.820,
2013-04,4.157,
2013-07,4.145,
2013-10,3.565,
2014-01,3.524,
2014-04,2.845,
2014-07,3.048,
