"",BBK01.OEAC13L,BBK01.OEAC13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:57,
2002-01,8.742,
2002-04,8.526,
2002-07,8.527,
2002-10,8.165,
2003-01,8.407,
2003-04,8.427,
2003-07,6.989,
2003-10,6.173,
2004-01,6.256,
2004-04,7.162,
2004-07,7.266,
2004-10,7.975,
2005-01,7.708,
2005-04,7.342,
2005-07,7.700,
2005-10,7.214,
2006-01,6.520,
2006-04,6.311,
2006-07,6.537,
2006-10,6.376,
2007-01,6.521,
2007-04,6.356,
2007-07,6.645,
2007-10,7.119,
2008-01,6.755,
2008-04,7.394,
2008-07,7.363,
2008-10,7.430,
2009-01,7.766,
2009-04,7.915,
2009-07,6.722,
2009-10,6.656,
2010-01,6.127,
2010-04,5.892,
2010-07,6.211,
2010-10,5.834,
2011-01,5.637,
2011-04,5.523,
2011-07,5.333,
2011-10,5.387,
2012-01,5.384,
2012-04,5.640,
2012-07,5.689,
2012-10,5.745,
2013-01,5.694,
2013-04,6.026,
2013-07,6.036,
2013-10,5.808,
2014-01,5.754,
2014-04,5.796,
2014-07,5.677,
