"",BBK01.OECI02J,BBK01.OECI02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:27,
2002-01,0.827,
2002-04,0.858,
2002-07,0.848,
2002-10,0.974,
2003-01,0.894,
2003-04,0.893,
2003-07,0.893,
2003-10,1.047,
2004-01,1.018,
2004-04,0.991,
2004-07,1.170,
2004-10,1.114,
2005-01,1.335,
2005-04,1.325,
2005-07,1.292,
2005-10,1.283,
2006-01,1.245,
2006-04,1.287,
2006-07,1.202,
2006-10,1.306,
2007-01,1.300,
2007-04,1.387,
2007-07,1.465,
2007-10,1.440,
2008-01,1.483,
2008-04,1.419,
2008-07,1.405,
2008-10,1.805,
2009-01,1.899,
2009-04,1.837,
2009-07,1.928,
2009-10,2.121,
2010-01,2.018,
2010-04,1.991,
2010-07,1.913,
2010-10,2.013,
2011-01,1.920,
2011-04,1.992,
2011-07,1.956,
2011-10,2.173,
2012-01,2.092,
2012-04,2.133,
2012-07,2.492,
2012-10,2.412,
2013-01,2.351,
2013-04,2.309,
2013-07,2.280,
2013-10,2.542,
2014-01,2.341,
2014-04,2.374,
2014-07,2.497,
