"",BBDE1.M.DE.Y.AEA1.A2Q400000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2Q400000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Manufacturing excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:01,
1991-01,74.2,
1991-02,70.3,
1991-03,71.7,
1991-04,70.9,
1991-05,69.7,
1991-06,71.0,
1991-07,68.1,
1991-08,72.9,
1991-09,69.4,
1991-10,70.8,
1991-11,72.0,
1991-12,71.9,
1992-01,72.0,
1992-02,72.6,
1992-03,71.6,
1992-04,69.2,
1992-05,68.3,
1992-06,66.5,
1992-07,65.4,
1992-08,65.7,
1992-09,66.1,
1992-10,62.6,
1992-11,62.6,
1992-12,63.9,
1993-01,63.4,
1993-02,61.7,
1993-03,60.1,
1993-04,60.3,
1993-05,60.8,
1993-06,60.6,
1993-07,61.4,
1993-08,61.2,
1993-09,63.5,
1993-10,62.5,
1993-11,62.9,
1993-12,63.9,
1994-01,62.1,
1994-02,63.8,
1994-03,66.1,
1994-04,65.6,
1994-05,65.4,
1994-06,67.2,
1994-07,66.3,
1994-08,66.1,
1994-09,68.7,
1994-10,70.0,
1994-11,69.3,
1994-12,72.3,
1995-01,67.5,
1995-02,68.9,
1995-03,68.3,
1995-04,67.7,
1995-05,67.7,
1995-06,66.4,
1995-07,66.6,
1995-08,65.2,
1995-09,67.4,
1995-10,64.4,
1995-11,63.7,
1995-12,66.6,
1996-01,65.8,
1996-02,64.5,
1996-03,66.7,
1996-04,66.9,
1996-05,67.1,
1996-06,67.5,
1996-07,67.5,
1996-08,68.2,
1996-09,68.3,
1996-10,69.6,
1996-11,68.8,
1996-12,68.4,
1997-01,69.5,
1997-02,69.4,
1997-03,71.7,
1997-04,72.0,
1997-05,71.3,
1997-06,72.8,
1997-07,72.7,
1997-08,72.5,
1997-09,73.9,
1997-10,73.5,
1997-11,73.9,
1997-12,74.0,
1998-01,74.9,
1998-02,74.2,
1998-03,75.4,
1998-04,75.7,
1998-05,74.6,
1998-06,75.3,
1998-07,74.5,
1998-08,73.5,
1998-09,74.0,
1998-10,72.0,
1998-11,72.3,
1998-12,74.4,
1999-01,73.3,
1999-02,72.7,
1999-03,73.6,
1999-04,74.0,
1999-05,75.1,
1999-06,76.6,
1999-07,77.8,
1999-08,80.1,
1999-09,78.8,
1999-10,79.3,
1999-11,80.9,
1999-12,81.3,
2000-01,78.7,
2000-02,82.9,
2000-03,83.6,
2000-04,85.1,
2000-05,86.3,
2000-06,86.1,
2000-07,87.4,
2000-08,88.7,
2000-09,88.3,
2000-10,87.8,
2000-11,87.5,
2000-12,87.8,
2001-01,86.2,
2001-02,86.8,
2001-03,85.9,
2001-04,83.4,
2001-05,86.0,
2001-06,85.3,
2001-07,83.7,
2001-08,85.0,
2001-09,82.3,
2001-10,81.4,
2001-11,80.6,
2001-12,84.0,
2002-01,83.0,
2002-02,82.5,
2002-03,83.5,
2002-04,84.3,
2002-05,85.0,
2002-06,85.2,
2002-07,83.8,
2002-08,86.6,
2002-09,85.5,
2002-10,84.5,
2002-11,86.2,
2002-12,82.8,
2003-01,85.2,
2003-02,85.3,
2003-03,83.5,
2003-04,83.3,
2003-05,82.0,
2003-06,83.0,
2003-07,84.1,
2003-08,84.0,
2003-09,85.4,
2003-10,86.8,
2003-11,87.6,
2003-12,89.3,
2004-01,87.3,
2004-02,88.3,
2004-03,89.7,
2004-04,90.9,
2004-05,91.5,
2004-06,90.0,
2004-07,91.4,
2004-08,89.6,
2004-09,90.1,
2004-10,89.7,
2004-11,89.0,
2004-12,92.1,
2005-01,91.9,
2005-02,90.0,
2005-03,91.2,
2005-04,91.1,
2005-05,91.1,
2005-06,94.4,
2005-07,95.7,
2005-08,94.8,
2005-09,96.6,
2005-10,98.7,
2005-11,99.6,
2005-12,98.6,
2006-01,100.7,
2006-02,100.2,
2006-03,99.9,
2006-04,102.8,
