"",BBK01.OEAI05G,BBK01.OEAI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:30,
2002-01,136.606,
2002-04,133.884,
2002-07,133.209,
2002-10,134.171,
2003-01,133.049,
2003-04,131.231,
2003-07,132.637,
2003-10,132.300,
2004-01,130.112,
2004-04,130.886,
2004-07,130.255,
2004-10,131.016,
2005-01,121.749,
2005-04,122.101,
2005-07,121.419,
2005-10,122.963,
2006-01,120.969,
2006-04,120.560,
2006-07,121.391,
2006-10,122.397,
2007-01,122.385,
2007-04,123.500,
2007-07,123.335,
2007-10,124.308,
2008-01,114.580,
2008-04,118.354,
2008-07,120.941,
2008-10,120.923,
2009-01,126.073,
2009-04,137.897,
2009-07,137.350,
2009-10,135.798,
2010-01,138.170,
2010-04,138.203,
2010-07,137.344,
2010-10,138.929,
2011-01,142.097,
2011-04,141.461,
2011-07,142.419,
2011-10,141.612,
2012-01,140.350,
2012-04,139.896,
2012-07,137.210,
2012-10,134.044,
2013-01,134.010,
2013-04,133.459,
2013-07,131.816,
2013-10,132.914,
2014-01,132.730,
2014-04,131.431,
2014-07,130.881,
