"",BBK01.OEXL02S,BBK01.OEXL02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:57,
2002-01,0.260,
2002-04,0.262,
2002-07,0.249,
2002-10,0.277,
2003-01,0.276,
2003-04,0.280,
2003-07,0.271,
2003-10,0.289,
2004-01,0.293,
2004-04,0.297,
2004-07,0.296,
2004-10,0.321,
2005-01,0.316,
2005-04,0.319,
2005-07,0.320,
2005-10,0.340,
2006-01,0.349,
2006-04,0.346,
2006-07,0.336,
2006-10,0.350,
2007-01,0.354,
2007-04,0.368,
2007-07,0.347,
2007-10,0.315,
2008-01,0.291,
2008-04,0.294,
2008-07,0.284,
2008-10,0.300,
2009-01,0.305,
2009-04,0.328,
2009-07,0.359,
2009-10,0.386,
2010-01,0.395,
2010-04,0.490,
2010-07,0.500,
2010-10,0.477,
2011-01,0.490,
2011-04,0.505,
2011-07,0.501,
2011-10,0.540,
2012-01,0.545,
2012-04,0.560,
2012-07,0.568,
2012-10,0.593,
2013-01,0.650,
2013-04,0.668,
2013-07,0.682,
2013-10,0.678,
2014-01,0.728,
2014-04,0.759,
2014-07,0.765,
