"",BBK01.OEAC51R,BBK01.OEAC51R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:08,
2002-01,0.396,
2002-04,0.402,
2002-07,0.408,
2002-10,0.410,
2003-01,0.412,
2003-04,0.421,
2003-07,0.421,
2003-10,0.424,
2004-01,0.427,
2004-04,0.424,
2004-07,0.427,
2004-10,0.420,
2005-01,0.422,
2005-04,0.428,
2005-07,0.443,
2005-10,0.443,
2006-01,0.449,
2006-04,0.447,
2006-07,0.452,
2006-10,0.459,
2007-01,0.474,
2007-04,0.484,
2007-07,0.500,
2007-10,0.524,
2008-01,0.533,
2008-04,0.544,
2008-07,0.558,
2008-10,0.576,
2009-01,0.580,
2009-04,0.594,
2009-07,0.598,
2009-10,0.616,
2010-01,0.639,
2010-04,0.650,
2010-07,0.671,
2010-10,0.680,
2011-01,0.710,
2011-04,0.745,
2011-07,0.790,
2011-10,0.820,
2012-01,0.839,
2012-04,0.854,
2012-07,0.878,
2012-10,0.897,
2013-01,0.909,
2013-04,0.926,
2013-07,0.956,
2013-10,0.969,
2014-01,1.000,
2014-04,1.020,
2014-07,1.063,
