"",BBK01.BQM409,BBK01.BQM409_FLAGS
"",Social security funds? debt - of which loans - of which long-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:41,
2000-01,674,
2000-04,626,
2000-07,617,
2000-10,616,
2001-01,624,
2001-04,623,
2001-07,602,
2001-10,592,
2002-01,588,
2002-04,527,
2002-07,699,
2002-10,696,
2003-01,646,
2003-04,698,
2003-07,714,
2003-10,749,
2004-01,1093,
2004-04,1076,
2004-07,1124,
2004-10,1153,
2005-01,1112,
2005-04,1022,
2005-07,1013,
2005-10,995,
2006-01,1055,
2006-04,1025,
2006-07,1005,
2006-10,983,
2007-01,891,
2007-04,946,
2007-07,922,
2007-10,1069,
2008-01,1081,
2008-04,1149,
2008-07,1140,
2008-10,1168,
2009-01,1163,
2009-04,1148,
2009-07,1142,
2009-10,1124,
2010-01,1146,Provisional value
2010-04,1144,Provisional value
2010-07,1240,Provisional value
2010-10,1190,Provisional value
2011-01,1179,Provisional value
2011-04,1151,Provisional value
2011-07,1047,Provisional value
2011-10,1094,Provisional value
2012-01,1059,Provisional value
2012-04,1038,Provisional value
2012-07,1020,Provisional value
2012-10,976,Provisional value
2013-01,965,Provisional value
2013-04,943,Provisional value
2013-07,930,Provisional value
2013-10,927,Provisional value
2014-01,901,Provisional value
2014-04,881,Provisional value
2014-07,945,Provisional value
