"",BBK01.OEAC30H,BBK01.OEAC30H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:43,
2002-01,3.389,
2002-04,3.303,
2002-07,3.202,
2002-10,3.076,
2003-01,3.190,
2003-04,3.089,
2003-07,2.994,
2003-10,2.757,
2004-01,2.808,
2004-04,2.759,
2004-07,2.644,
2004-10,2.464,
2005-01,2.592,
2005-04,2.428,
2005-07,2.315,
2005-10,2.157,
2006-01,2.341,
2006-04,2.357,
2006-07,2.275,
2006-10,2.047,
2007-01,2.089,
2007-04,2.090,
2007-07,2.022,
2007-10,1.959,
2008-01,2.061,
2008-04,2.020,
2008-07,1.960,
2008-10,1.861,
2009-01,2.060,
2009-04,2.024,
2009-07,1.887,
2009-10,1.700,
2010-01,1.836,
2010-04,1.807,
2010-07,1.741,
2010-10,1.554,
2011-01,1.737,
2011-04,1.711,
2011-07,1.612,
2011-10,1.460,
2012-01,1.649,
2012-04,1.625,
2012-07,1.692,
2012-10,1.569,
2013-01,1.691,
2013-04,1.646,
2013-07,1.564,
2013-10,1.436,
2014-01,1.486,
2014-04,1.501,
2014-07,1.470,
