"",BBK01.CEL2N0,BBK01.CEL2N0_FLAGS
"",Currency and deposits                                              debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:08,
1999-01,1.6,
1999-04,-10.6,
1999-07,1.9,
1999-10,-19.1,
2000-01,30.6,
2000-04,1.7,
2000-07,19.0,
2000-10,7.9,
2001-01,29.6,
2001-04,0.0,
2001-07,34.0,
2001-10,25.1,
2002-01,-8.0,
2002-04,53.0,
2002-07,50.4,
2002-10,28.7,
2003-01,68.5,
2003-04,68.4,
2003-07,-14.2,
2003-10,1.5,
2004-01,28.1,
2004-04,13.5,
2004-07,27.1,
2004-10,35.6,
2005-01,64.4,
2005-04,38.3,
2005-07,21.3,
2005-10,-36.4,
2006-01,93.8,
2006-04,50.6,
2006-07,-10.8,
2006-10,39.5,
2007-01,28.8,
2007-04,92.7,
2007-07,31.8,
2007-10,10.2,
2008-01,63.4,
2008-04,-18.7,
2008-07,41.7,
2008-10,-52.8,
2009-01,-70.9,
2009-04,3.0,
2009-07,-71.7,
2009-10,14.0,
2010-01,-9.3,
2010-04,10.5,
2010-07,-1.1,
2010-10,-49.8,
2011-01,-9.9,
2011-04,25.3,
2011-07,38.1,
2011-10,-72.6,
2012-01,9.3,
2012-04,-15.7,
2012-07,12.3,
2012-10,-65.5,
2013-01,9.4,
2013-04,5.5,
2013-07,-47.3,
2013-10,5.8,
2014-01,78.4,
2014-04,46.8,
2014-07,-3.3,
