"",BBK01.WXI054,BBK01.WXI054_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:22,
2009-09,20,
2009-10,28,
2009-11,68,
2009-12,93,
2010-01,90,
2010-02,92,
2010-03,69,
2010-04,99,
2010-05,120,
2010-06,95,
2010-07,88,
2010-08,115,
2010-09,97,
2010-10,109,
2010-11,119,
2010-12,101,
2011-01,111,
2011-02,122,
2011-03,110,
2011-04,154,
2011-05,156,
2011-06,253,
2011-07,265,
2011-08,379,
2011-09,311,
2011-10,356,
2011-11,327,
2011-12,219,
2012-01,252,
2012-02,316,
2012-03,259,
2012-04,305,
2012-05,343,
2012-06,223,
2012-07,253,
2012-08,342,
2012-09,346,
2012-10,324,
2012-11,350,
2012-12,940,
2013-01,992,
2013-02,933,
2013-03,945,
2013-04,973,
2013-05,1027,
2013-06,943,
2013-07,983,
2013-08,1013,
2013-09,1037,
2013-10,1011,
2013-11,1020,
2013-12,998,
2014-01,992,
2014-02,1034,
2014-03,1075,
2014-04,1084,
2014-05,1171,
2014-06,1090,
2014-07,1171,
2014-08,1220,
2014-09,1195,
2014-10,1221,
2014-11,1357,
