"",BBK01.OEAC03R,BBK01.OEAC03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:46,
2002-01,0.331,
2002-04,0.326,
2002-07,0.330,
2002-10,0.344,
2003-01,0.549,
2003-04,0.532,
2003-07,0.501,
2003-10,0.557,
2004-01,0.539,
2004-04,0.534,
2004-07,0.511,
2004-10,0.508,
2005-01,0.491,
2005-04,0.481,
2005-07,0.478,
2005-10,0.464,
2006-01,0.538,
2006-04,0.550,
2006-07,0.548,
2006-10,0.601,
2007-01,0.601,
2007-04,0.496,
2007-07,0.515,
2007-10,0.549,
2008-01,0.530,
2008-04,0.563,
2008-07,0.579,
2008-10,0.727,
2009-01,0.811,
2009-04,0.888,
2009-07,0.969,
2009-10,0.966,
2010-01,1.153,
2010-04,1.214,
2010-07,1.279,
2010-10,1.359,
2011-01,1.399,
2011-04,1.439,
2011-07,1.468,
2011-10,1.652,
2012-01,1.692,
2012-04,1.763,
2012-07,1.898,
2012-10,1.991,
2013-01,2.048,
2013-04,2.104,
2013-07,2.248,
2013-10,2.424,
2014-01,2.453,
2014-04,2.350,
2014-07,2.382,
