"",BBK01.OEAE17L,BBK01.OEAE17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:10,
2002-01,2.722,
2002-04,0.881,
2002-07,1.156,
2002-10,1.022,
2003-01,1.158,
2003-04,1.204,
2003-07,1.903,
2003-10,1.689,
2004-01,2.179,
2004-04,1.314,
2004-07,1.348,
2004-10,1.132,
2005-01,1.389,
2005-04,1.483,
2005-07,1.630,
2005-10,1.216,
2006-01,1.187,
2006-04,1.519,
2006-07,1.502,
2006-10,1.392,
2007-01,1.203,
2007-04,1.340,
2007-07,1.649,
2007-10,1.457,
2008-01,0.807,
2008-04,0.909,
2008-07,0.945,
2008-10,1.153,
2009-01,0.934,
2009-04,0.859,
2009-07,0.767,
2009-10,0.613,
2010-01,0.189,
2010-04,0.212,
2010-07,0.158,
2010-10,0.133,
2011-01,0.107,
2011-04,0.120,
2011-07,0.103,
2011-10,0.188,
2012-01,0.179,
2012-04,0.169,
2012-07,0.187,
2012-10,0.158,
2013-01,0.159,
2013-04,0.138,
2013-07,0.119,
2013-10,0.156,
2014-01,0.162,
2014-04,0.153,
2014-07,0.145,
