"",BBK01.OEAH92H,BBK01.OEAH92H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:16,
2002-01,0.680,
2002-04,0.681,
2002-07,0.688,
2002-10,0.667,
2003-01,0.630,
2003-04,0.605,
2003-07,0.555,
2003-10,0.559,
2004-01,0.550,
2004-04,0.525,
2004-07,0.503,
2004-10,0.487,
2005-01,0.468,
2005-04,0.433,
2005-07,0.419,
2005-10,0.411,
2006-01,0.381,
2006-04,0.389,
2006-07,0.395,
2006-10,0.409,
2007-01,0.412,
2007-04,0.416,
2007-07,0.445,
2007-10,0.459,
2008-01,0.468,
2008-04,0.471,
2008-07,0.469,
2008-10,0.474,
2009-01,0.453,
2009-04,0.404,
2009-07,0.367,
2009-10,0.356,
2010-01,0.350,
2010-04,0.332,
2010-07,0.337,
2010-10,0.330,
2011-01,0.329,
2011-04,0.344,
2011-07,0.347,
2011-10,0.350,
2012-01,0.348,
2012-04,0.319,
2012-07,0.305,
2012-10,0.278,
2013-01,0.254,
2013-04,0.229,
2013-07,0.331,
2013-10,0.322,
2014-01,0.317,
2014-04,0.298,
2014-07,0.288,
