"",BBK01.OEAF12H,BBK01.OEAF12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:58,
2002-01,7.847,
2002-04,7.939,
2002-07,7.723,
2002-10,7.495,
2003-01,7.224,
2003-04,7.267,
2003-07,7.443,
2003-10,7.198,
2004-01,6.935,
2004-04,6.866,
2004-07,6.874,
2004-10,6.718,
2005-01,6.603,
2005-04,6.611,
2005-07,6.633,
2005-10,6.426,
2006-01,6.276,
2006-04,6.341,
2006-07,6.396,
2006-10,6.216,
2007-01,5.935,
2007-04,5.827,
2007-07,5.957,
2007-10,6.065,
2008-01,5.766,
2008-04,5.689,
2008-07,5.731,
2008-10,5.807,
2009-01,5.555,
2009-04,5.693,
2009-07,5.847,
2009-10,5.609,
2010-01,5.505,
2010-04,5.640,
2010-07,5.696,
2010-10,5.777,
2011-01,5.852,
2011-04,5.771,
2011-07,5.908,
2011-10,5.785,
2012-01,5.718,
2012-04,5.706,
2012-07,5.708,
2012-10,5.961,
2013-01,4.703,
2013-04,4.816,
2013-07,5.015,
2013-10,4.994,
2014-01,4.836,
2014-04,5.019,
2014-07,5.079,
