"",BBAI3.Q.DE.N.V.LE.F2M.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:41,
2005-10,101871,
2006-01,104266,
2006-04,106621,
2006-07,109780,
2006-10,113604,
2007-01,115537,
2007-04,118820,
2007-07,121573,
2007-10,125592,
2008-01,129639,
2008-04,131564,
2008-07,134364,
2008-10,137685,
2009-01,141398,
2009-04,142884,
2009-07,145762,
2009-10,148396,
2010-01,147235,
2010-04,147885,
2010-07,148878,
2010-10,150802,
2011-01,150363,
2011-04,151427,
2011-07,153091,
2011-10,156242,
2012-01,156861,
2012-04,156171,
2012-07,156396,
2012-10,156217,
2013-01,157579,
2013-04,156709,
2013-07,156586,
2013-10,156359,
2014-01,159485,
2014-04,160009,
2014-07,158215,
