"",BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Reserve assets / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:23,
1991-01,454.386,
1991-02,-994.200,
1991-03,-4015.015,
1991-04,-140.576,
1991-05,591.316,
1991-06,-1661.097,
1991-07,-46.834,
1991-08,550.405,
1991-09,72.000,
1991-10,205.416,
1991-11,510.278,
1991-12,-436.992,
1992-01,445.029,
1992-02,857.313,
1992-03,174.457,
1992-04,629.311,
1992-05,-1077.583,
1992-06,377.830,
1992-07,243.604,
1992-08,1978.754,
1992-09,39591.277,
1992-10,-19944.179,
1992-11,-866.953,
1992-12,4632.366,
1993-01,-5782.999,
1993-02,-5863.367,
1993-03,-6900.983,
1993-04,-1143.153,
1993-05,765.885,
1993-06,-1042.800,
1993-07,6246.144,
1993-08,23618.064,
1993-09,-16767.452,
1993-10,-5611.253,
1993-11,1266.556,
1993-12,-439.675,
1994-01,-779.852,
1994-02,340.891,
1994-03,435.529,
1994-04,513.069,
1994-05,740.148,
1994-06,708.620,
1994-07,444.139,
1994-08,741.178,
1994-09,-61.549,
1994-10,-282.920,
1994-11,-865.141,
1994-12,-3389.402,
1995-01,374.435,
1995-02,223.977,
1995-03,773.170,
1995-04,878.756,
1995-05,522.755,
1995-06,737.540,
1995-07,66.770,
1995-08,450.980,
1995-09,642.514,
1995-10,52.835,
1995-11,729.927,
1995-12,-159.381,
1996-01,307.186,
1996-02,287.597,
1996-03,235.781,
1996-04,578.506,
1996-05,-1251.677,
1996-06,389.083,
1996-07,-1592.871,
1996-08,510.650,
1996-09,856.296,
1996-10,433.209,
1996-11,549.440,
1996-12,-2265.577,
1997-01,-163.523,
1997-02,-272.201,
1997-03,-497.726,
1997-04,-138.272,
1997-05,516.599,
1997-06,-364.135,
1997-07,-1681.853,
1997-08,-1001.994,
1997-09,-384.655,
1997-10,-258.172,
1997-11,128.603,
1997-12,722.209,
1998-01,-32.365,
1998-02,751.873,
1998-03,574.528,
1998-04,503.173,
1998-05,530.250,
1998-06,90.906,
1998-07,-379.441,
1998-08,590.385,
1998-09,368.917,
1998-10,390.147,
1998-11,3687.139,
1998-12,-3431.247,
1999-01,-12444.895,
1999-02,-995.900,
1999-03,104.695,
1999-04,125.402,
1999-05,115.987,
1999-06,53.746,
1999-07,-146.215,
1999-08,428.511,
1999-09,132.874,
1999-10,-114.759,
1999-11,353.775,
1999-12,-148.561,
2000-01,41.663,
2000-02,438.121,
2000-03,271.327,
2000-04,-1353.659,
2000-05,-171.317,
2000-06,-863.293,
2000-07,-1179.950,
2000-08,-345.033,
2000-09,-629.741,
2000-10,-538.168,
2000-11,-466.107,
2000-12,-1047.406,
2001-01,-1400.340,
2001-02,-1179.629,
2001-03,-1492.399,
2001-04,-1204.979,
2001-05,-508.085,
2001-06,-326.020,
2001-07,151.065,
2001-08,-460.263,
2001-09,2473.738,
2001-10,1000.867,
2001-11,-204.136,
2001-12,-2881.641,
2002-01,1747.121,
2002-02,-66.874,
2002-03,-328.066,
2002-04,-1657.111,
2002-05,-1378.525,
2002-06,603.162,
2002-07,547.613,
2002-08,-886.202,
2002-09,251.859,
2002-10,-569.580,
2002-11,842.475,
2002-12,-1171.113,
2003-01,96.639,
2003-02,320.367,
2003-03,1078.351,
2003-04,-1448.843,
2003-05,854.359,
2003-06,-910.455,
2003-07,-225.439,
2003-08,716.947,
2003-09,259.450,
2003-10,255.445,
2003-11,-520.857,
2003-12,-920.568,
2004-01,205.726,
2004-02,26.478,
2004-03,-437.434,
2004-04,627.782,
2004-05,-606.506,
2004-06,317.970,
2004-07,-847.199,
2004-08,-516.895,
2004-09,-203.691,
2004-10,-839.412,
2004-11,181.942,
2004-12,620.927,
2005-01,353.420,
2005-02,-493.986,
2005-03,321.714,
2005-04,-404.171,
2005-05,141.163,
2005-06,-967.011,
2005-07,-324.106,
2005-08,-931.812,
2005-09,2038.707,
2005-10,-206.822,
2005-11,-1058.801,
2005-12,-650.414,
2006-01,26.341,
2006-02,-1534.354,
2006-03,426.078,
2006-04,-1474.897,
2006-05,1067.187,
2006-06,41.164,
2006-07,332.262,
2006-08,-698.393,
2006-09,-478.201,
2006-10,-401.240,
2006-11,101.962,
2006-12,-342.273,
2007-01,458.105,
2007-02,-566.114,
2007-03,8.164,
2007-04,1214.778,
2007-05,656.588,
2007-06,-512.721,
2007-07,-121.116,
2007-08,21.304,
2007-09,446.748,
2007-10,-308.521,
2007-11,-339.152,
2007-12,-4.858,
2008-01,311.322,
2008-02,349.208,
2008-03,504.305,
2008-04,1088.991,
2008-05,-912.813,
2008-06,713.174,
2008-07,-1224.874,
2008-08,81.630,
2008-09,-486.684,
2008-10,3373.110,
2008-11,269.098,
2008-12,-2058.237,
2009-01,-2244.672,
2009-02,270.940,
2009-03,1652.404,
2009-04,589.842,
2009-05,-342.337,
2009-06,-288.319,
2009-07,92.343,
2009-08,-743.208,
2009-09,-1617.847,
2009-10,651.313,
2009-11,-1522.044,
2009-12,301.908,
2010-01,55.357,
2010-02,781.889,
2010-03,-186.671,
2010-04,116.318,
2010-05,671.107,
2010-06,13.770,
2010-07,-20.090,
2010-08,-118.916,
2010-09,-205.015,
2010-10,-234.073,
2010-11,-80.560,
2010-12,820.346,
2011-01,182.111,
2011-02,22.515,
2011-03,1188.160,
2011-04,562.659,
2011-05,-23.618,
2011-06,-101.398,
2011-07,427.938,
2011-08,-108.689,
2011-09,319.926,
2011-10,-54.871,
2011-11,-263.202,
2011-12,684.053,
2012-01,140.182,
2012-02,546.767,
2012-03,275.736,
2012-04,580.668,
2012-05,207.256,
2012-06,-19.379,
2012-07,-48.197,
2012-08,388.892,
2012-09,-281.392,
2012-10,176.111,
2012-11,-308.272,
2012-12,-361.497,
2013-01,493.380,
2013-02,-321.424,
2013-03,-85.780,
2013-04,56.324,
2013-05,-22.496,
2013-06,37.792,
2013-07,-653.813,
2013-08,425.246,
2013-09,-555.933,
2013-10,-212.005,
2013-11,407.270,
2013-12,1268.956,
2014-01,-374.569,
2014-02,-898.001,Provisional value
2014-03,708.054,Provisional value
2014-04,150.864,Provisional value
2014-05,-630.618,Provisional value
2014-06,-130.035,Provisional value
2014-07,430.795,Provisional value
2014-08,165.777,Provisional value
2014-09,-265.024,
2014-10,203.381,
2014-11,30.315,
2014-12,-1955.277,Provisional value
