"",BBSF2.M.1.S.I0015.REN01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.REN01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Private non-profit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:42,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,34,
1993-05,34,
1993-06,34,
1993-07,35,
1993-08,35,
1993-09,36,
1993-10,36,
1993-11,36,
1993-12,37,
1994-01,37,
1994-02,37,
1994-03,38,
1994-04,41,
1994-05,43,
1994-06,43,
1994-07,44,
1994-08,46,
1994-09,46,
1994-10,46,
1994-11,46,
1994-12,46,
1995-01,46,
1995-02,47,
1995-03,47,
1995-04,47,
1995-05,47,
1995-06,48,
1995-07,49,
1995-08,49,
1995-09,50,
1995-10,50,
1995-11,50,
1995-12,51,
1996-01,51,
1996-02,50,
1996-03,50,
1996-04,51,
1996-05,51,
1996-06,51,
1996-07,51,
1996-08,51,
1996-09,52,
1996-10,53,
1996-11,52,
1996-12,52,
1997-01,53,
1997-02,53,
1997-03,53,
1997-04,53,
1997-05,53,
1997-06,54,
1997-07,54,
1997-08,55,
1997-09,56,
1997-10,56,
1997-11,54,
1997-12,54,
1998-01,55,
1998-02,58,
1998-03,58,
1998-04,58,
1998-05,58,
1998-06,58,
1998-07,60,
1998-08,60,
1998-09,59,
1998-10,59,
1998-11,59,
1998-12,58,
1999-01,58,
1999-02,61,
1999-03,62,
1999-04,62,
1999-05,62,
1999-06,62,
1999-07,63,
1999-08,64,
1999-09,65,
1999-10,65,
1999-11,65,
1999-12,65,
2000-01,66,
2000-02,65,
2000-03,68,
2000-04,68,
2000-05,68,
2000-06,69,
2000-07,68,
2000-08,68,
2000-09,67,
2000-10,67,
2000-11,67,
2000-12,68,
2001-01,69,
2001-02,69,
2001-03,68,
2001-04,68,
2001-05,68,
2001-06,68,
2001-07,67,
2001-08,67,
2001-09,67,
2001-10,67,
2001-11,68,
2001-12,68,
2002-01,70,
2002-02,70,
2002-03,70,
2002-04,69,
2002-05,70,
2002-06,69,
2002-07,69,
2002-08,69,
2002-09,68,
2002-10,68,
2002-11,69,
2002-12,70,
2003-01,71,
2003-02,72,
2003-03,71,
2003-04,72,
2003-05,72,
2003-06,72,
2003-07,72,
2003-08,72,
2003-09,72,
2003-10,73,
2003-11,73,
2003-12,69,
2004-01,66,
2004-02,66,
2004-03,67,
2004-04,65,
2004-05,67,
2004-06,62,
2004-07,63,
2004-08,63,
2004-09,63,
2004-10,64,
2004-11,63,
2004-12,65,
2005-01,64,
2005-02,64,
2005-03,63,
2005-04,62,
2005-05,62,
2005-06,62,
2005-07,61,
2005-08,61,
2005-09,61,
2005-10,59,
2005-11,58,
2005-12,58,
2006-01,57,
2006-02,57,
2006-03,57,
2006-04,57,
2006-05,58,
2006-06,57,
2006-07,55,
2006-08,55,
2006-09,54,
2006-10,53,
2006-11,53,
2006-12,52,
2007-01,52,
2007-02,52,
2007-03,51,
2007-04,51,
2007-05,50,
2007-06,48,
2007-07,48,
2007-08,48,
2007-09,48,
2007-10,48,
2007-11,48,
2007-12,47,
2008-01,46,
2008-02,45,
2008-03,44,
2008-04,46,
2008-05,50,
2008-06,51,
2008-07,51,
2008-08,50,
2008-09,50,
2008-10,50,
2008-11,53,
2008-12,50,
2009-01,51,
2009-02,52,
2009-03,52,
2009-04,54,
2009-05,52,
2009-06,51,
2009-07,54,
2009-08,52,
2009-09,58,
2009-10,58,
2009-11,56,
2009-12,53,
2010-01,52,
2010-02,51,
2010-03,50,
2010-04,51,
2010-05,51,
2010-06,49,
2010-07,49,
2010-08,49,
2010-09,49,
2010-10,49,
2010-11,48,
2010-12,47,
2011-01,47,
2011-02,46,
2011-03,47,
2011-04,47,
2011-05,47,
2011-06,46,
2011-07,46,
2011-08,46,
2011-09,46,
2011-10,46,
2011-11,46,
2011-12,45,
2012-01,45,
2012-02,46,
2012-03,46,
2012-04,46,
2012-05,46,
2012-06,48,
2012-07,47,
2012-08,47,
2012-09,47,
2012-10,49,
2012-11,51,
2012-12,50,
2013-01,50,
2013-02,50,
2013-03,50,
2013-04,50,
2013-05,52,
2013-06,54,
2013-07,53,
2013-08,52,
2013-09,55,
2013-10,56,
2013-11,57,
2013-12,57,
2014-01,57,
2014-02,56,
2014-03,55,
2014-04,55,
2014-05,55,
2014-06,54,
2014-07,54,
2014-08,54,
2014-09,54,
2014-10,54,
2014-11,52,
