"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Secondary income / Balance (Credits minus Debits) / General government / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:19,
1991-01,-11.18,
1991-04,-6.30,
1991-07,-6.40,
1991-10,-6.25,
1992-01,-7.11,
1992-04,-6.62,
1992-07,-6.60,
1992-10,-6.02,
1993-01,-6.24,
1993-04,-7.57,
1993-07,-7.40,
1993-10,-7.82,
1994-01,-7.44,
1994-04,-8.07,
1994-07,-8.19,
1994-10,-7.87,
1995-01,-6.82,
1995-04,-7.62,
1995-07,-7.20,
1995-10,-8.14,
1996-01,-7.12,
1996-04,-8.55,
1996-07,-5.80,
1996-10,-6.93,
1997-01,-8.01,
1997-04,-7.26,
1997-07,-7.71,
1997-10,-5.98,
1998-01,-9.30,
1998-04,-5.83,
1998-07,-7.07,
1998-10,-7.12,
1999-01,-6.59,
1999-04,-6.25,
1999-07,-7.12,
1999-10,-6.78,
2000-01,-7.34,
2000-04,-7.87,
2000-07,-6.59,
2000-10,-8.05,
2001-01,-7.40,
2001-04,-8.65,
2001-07,-5.67,
2001-10,-7.33,
2002-01,-7.82,
2002-04,-8.99,
2002-07,-5.50,
2002-10,-7.03,
2003-01,-7.38,
2003-04,-8.45,
2003-07,-8.48,
2003-10,-6.78,
2004-01,-7.53,
2004-04,-8.14,
2004-07,-8.12,
2004-10,-6.30,
2005-01,-8.96,
2005-04,-8.00,
2005-07,-7.71,
2005-10,-6.39,
2006-01,-7.88,
2006-04,-7.24,
2006-07,-8.80,
2006-10,-8.23,
2007-01,-9.29,
2007-04,-7.00,
2007-07,-8.52,
2007-10,-8.84,
2008-01,-7.99,
2008-04,-7.77,
2008-07,-8.51,
2008-10,-10.14,
2009-01,-7.23,
2009-04,-8.72,
2009-07,-8.21,
2009-10,-10.90,
2010-01,-9.78,
2010-04,-9.47,
2010-07,-10.61,
2010-10,-9.96,
2011-01,-8.86,
2011-04,-7.73,
2011-07,-9.51,
2011-10,-8.92,
2012-01,-10.05,
2012-04,-9.42,
2012-07,-9.34,
2012-10,-9.95,
2013-01,-11.06,
2013-04,-11.44,
2013-07,-10.56,
2013-10,-10.23,
2014-01,-10.58,
2014-04,-10.86,Provisional value
2014-07,-9.08,Provisional value
2014-10,-10.60,Provisional value
