"",BBK01.OEXJ08L,BBK01.OEXJ08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:07,
2002-01,0.003,
2002-04,0.004,
2002-07,0.003,
2002-10,0.003,
2003-01,0.003,
2003-04,0.004,
2003-07,0.003,
2003-10,0.004,
2004-01,0.003,
2004-04,0.003,
2004-07,0.001,
2004-10,0.004,
2005-01,0.005,
2005-04,0.006,
2005-07,0.006,
2005-10,0.008,
2006-01,0.009,
2006-04,0.010,
2006-07,0.009,
2006-10,0.006,
2007-01,0.007,
2007-04,0.006,
2007-07,0.007,
2007-10,0.015,
2008-01,0.019,
2008-04,0.045,
2008-07,0.048,
2008-10,0.055,
2009-01,0.065,
2009-04,0.070,
2009-07,0.074,
2009-10,0.073,
2010-01,0.083,
2010-04,0.090,
2010-07,0.101,
2010-10,0.104,
2011-01,0.108,
2011-04,0.112,
2011-07,0.121,
2011-10,0.003,
2012-01,0.002,
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.002,
2013-04,0.002,
2013-07,0.005,
2013-10,0.002,
2014-01,0.003,
2014-04,0.003,
2014-07,0.003,
