"",BBK01.OEBO02G,BBK01.OEBO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:31,
2002-01,2.901,
2002-04,2.284,
2002-07,2.179,
2002-10,2.333,
2003-01,2.832,
2003-04,2.437,
2003-07,2.869,
2003-10,2.401,
2004-01,3.016,
2004-04,2.628,
2004-07,2.534,
2004-10,2.566,
2005-01,2.116,
2005-04,2.009,
2005-07,1.564,
2005-10,1.552,
2006-01,1.717,
2006-04,1.705,
2006-07,1.560,
2006-10,1.772,
2007-01,2.778,
2007-04,1.893,
2007-07,1.865,
2007-10,2.265,
2008-01,2.370,
2008-04,2.333,
2008-07,1.896,
2008-10,3.476,
2009-01,2.444,
2009-04,2.258,
2009-07,2.581,
2009-10,2.116,
2010-01,2.206,
2010-04,1.400,
2010-07,1.275,
2010-10,2.059,
2011-01,2.146,
2011-04,1.652,
2011-07,1.580,
2011-10,1.522,
2012-01,2.496,
2012-04,1.480,
2012-07,1.332,
2012-10,1.312,
2013-01,1.522,
2013-04,1.140,
2013-07,1.031,
2013-10,0.897,
2014-01,0.993,
2014-04,0.652,
2014-07,1.376,
