"",BBK01.OEBL08O,BBK01.OEBL08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:00,
2002-01,-23.707,
2002-04,-24.272,
2002-07,-24.590,
2002-10,-27.441,
2003-01,-28.872,
2003-04,-29.240,
2003-07,-29.752,
2003-10,-31.911,
2004-01,-33.058,
2004-04,-33.402,
2004-07,-33.388,
2004-10,-34.153,
2005-01,2.734,
2005-04,2.739,
2005-07,2.678,
2005-10,2.663,
2006-01,2.607,
2006-04,2.526,
2006-07,2.428,
2006-10,2.400,
2007-01,2.427,
2007-04,2.401,
2007-07,2.352,
2007-10,2.393,
2008-01,2.396,
2008-04,2.440,
2008-07,2.363,
2008-10,2.353,
2009-01,2.415,
2009-04,2.553,
2009-07,2.738,
2009-10,2.905,
2010-01,2.965,
2010-04,2.923,
2010-07,2.949,
2010-10,3.004,
2011-01,2.952,
2011-04,2.839,
2011-07,2.815,
2011-10,2.833,
2012-01,3.068,
2012-04,3.004,
2012-07,2.996,
2012-10,3.079,
2013-01,3.018,
2013-04,2.991,
2013-07,2.908,
2013-10,2.887,
2014-01,2.818,
2014-04,2.768,
2014-07,2.821,
