"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA._T.FGED.L._T._X.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA._T.FGED.L._T._X.N_FLAGS
"",AVS - Gross external debt - Other sectors than MFIs and general government - Long-term original maturity (over 1 year or no stated maturity) - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:22,
1999-10,144487,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,176390,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,211931,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,216282,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,226032,
2004-01,232179,
2004-04,230722,
2004-07,232385,
2004-10,234144,
2005-01,237674,
2005-04,246573,
2005-07,257380,
2005-10,257441,
2006-01,265783,
2006-04,272151,
2006-07,277052,
2006-10,283626,
2007-01,293126,
2007-04,303386,
2007-07,307135,
2007-10,295375,
2008-01,307921,
2008-04,314520,
2008-07,315777,
2008-10,331707,
2009-01,316959,
2009-04,303056,
2009-07,308860,
2009-10,321168,
2010-01,330631,
2010-04,350132,
2010-07,366157,
2010-10,369457,
2011-01,383057,
2011-04,390783,
2011-07,414200,
2011-10,399443,
2012-01,410911,
2012-04,414608,
2012-07,416354,
2012-10,360237,
2013-01,363352,
2013-04,349731,
2013-07,346318,
2013-10,340750,
2014-01,341690,
2014-04,351069,
2014-07,355474,
