"",BBK01.OECB12L,BBK01.OECB12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:29,
2002-01,4.275,
2002-04,4.521,
2002-07,4.504,
2002-10,4.414,
2003-01,4.357,
2003-04,4.569,
2003-07,4.396,
2003-10,3.897,
2004-01,3.813,
2004-04,3.637,
2004-07,6.278,
2004-10,6.212,
2005-01,6.887,
2005-04,6.784,
2005-07,6.841,
2005-10,7.154,
2006-01,7.673,
2006-04,7.574,
2006-07,7.675,
2006-10,5.355,
2007-01,5.688,
2007-04,5.552,
2007-07,5.990,
2007-10,7.124,
2008-01,7.031,
2008-04,6.479,
2008-07,6.543,
2008-10,6.337,
2009-01,5.663,
2009-04,6.487,
2009-07,6.284,
2009-10,6.249,
2010-01,6.237,
2010-04,6.295,
2010-07,5.553,
2010-10,5.315,
2011-01,5.523,
2011-04,5.715,
2011-07,5.608,
2011-10,5.424,
2012-01,5.347,
2012-04,5.025,
2012-07,4.995,
2012-10,4.992,
2013-01,4.967,
2013-04,5.323,
2013-07,5.050,
2013-10,5.060,
2014-01,5.033,
2014-04,4.909,
2014-07,5.382,
