"",BBDE1.Q.DE.Y.LCB1.P2XG00300.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.P2XG00300.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Section G-N - Market-based service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:16,
1996-01,77.314,
1996-04,77.935,
1996-07,78.282,
1996-10,79.503,
1997-01,79.524,
1997-04,79.270,
1997-07,79.204,
1997-10,79.699,
1998-01,80.145,
1998-04,80.265,
1998-07,80.535,
1998-10,80.643,
1999-01,81.413,
1999-04,82.306,
1999-07,82.841,
1999-10,82.920,
2000-01,83.061,
2000-04,84.148,
2000-07,84.668,
2000-10,85.317,
2001-01,85.378,
2001-04,86.249,
2001-07,87.045,
2001-10,87.659,
2002-01,87.806,
2002-04,88.076,
2002-07,89.471,
2002-10,90.377,
2003-01,90.858,
2003-04,91.287,
2003-07,91.093,
2003-10,91.777,
2004-01,92.515,
2004-04,92.337,
2004-07,91.941,
2004-10,92.738,
2005-01,93.575,
2005-04,93.325,
2005-07,93.843,
2005-10,93.984,
2006-01,94.359,
2006-04,95.310,
2006-07,95.561,
2006-10,95.528,
2007-01,95.387,
2007-04,96.812,
2007-07,97.287,
2007-10,98.319,
2008-01,99.790,
2008-04,98.995,
2008-07,100.042,
2008-10,101.174,
2009-01,102.037,
2009-04,101.609,
2009-07,102.532,
2009-10,102.016,
2010-01,102.807,
2010-04,102.644,
2010-07,103.467,
2010-10,103.766,
2011-01,104.900,
2011-04,106.123,
2011-07,106.526,
2011-10,107.294,
2012-01,108.538,
2012-04,110.606,
2012-07,111.158,
2012-10,111.572,
2013-01,110.980,
2013-04,111.165,
2013-07,110.777,
2013-10,111.942,
2014-01,111.788,
2014-04,112.223,
2014-07,112.904,
