"",BBK01.OEAN06K,BBK01.OEAN06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:57,
2002-01,0.809,
2002-04,0.774,
2002-07,0.711,
2002-10,0.663,
2003-01,0.595,
2003-04,0.579,
2003-07,0.553,
2003-10,0.598,
2004-01,0.634,
2004-04,0.611,
2004-07,0.604,
2004-10,0.545,
2005-01,0.539,
2005-04,0.529,
2005-07,0.525,
2005-10,0.562,
2006-01,0.571,
2006-04,0.599,
2006-07,0.591,
2006-10,0.602,
2007-01,0.720,
2007-04,0.775,
2007-07,0.859,
2007-10,0.984,
2008-01,1.031,
2008-04,1.101,
2008-07,1.111,
2008-10,1.563,
2009-01,1.582,
2009-04,1.657,
2009-07,1.679,
2009-10,1.412,
2010-01,1.187,
2010-04,1.196,
2010-07,1.135,
2010-10,1.257,
2011-01,1.385,
2011-04,1.396,
2011-07,1.408,
2011-10,1.376,
2012-01,1.297,
2012-04,1.267,
2012-07,1.176,
2012-10,1.013,
2013-01,0.881,
2013-04,0.713,
2013-07,0.682,
2013-10,0.672,
2014-01,0.701,
2014-04,0.700,
2014-07,0.826,
