"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Net exports of goods under merchanting / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:44,
1991-01,0.19,
1991-04,0.96,
1991-07,0.20,
1991-10,0.25,
1992-01,0.01,
1992-04,0.17,
1992-07,0.38,
1992-10,0.17,
1993-01,0.13,
1993-04,0.15,
1993-07,0.05,
1993-10,0.34,
1994-01,0.45,
1994-04,-0.08,
1994-07,0.37,
1994-10,0.77,
1995-01,0.36,
1995-04,-0.32,
1995-07,0.37,
1995-10,1.43,
1996-01,1.09,
1996-04,0.18,
1996-07,0.34,
1996-10,1.23,
1997-01,0.21,
1997-04,0.38,
1997-07,0.37,
1997-10,1.74,
1998-01,0.16,
1998-04,0.11,
1998-07,0.65,
1998-10,1.30,
1999-01,-0.28,
1999-04,0.75,
1999-07,0.51,
1999-10,1.62,
2000-01,1.06,
2000-04,0.11,
2000-07,0.84,
2000-10,1.41,
2001-01,0.56,
2001-04,-1.11,
2001-07,0.61,
2001-10,2.53,
2002-01,0.33,
2002-04,0.82,
2002-07,0.72,
2002-10,1.43,
2003-01,0.71,
2003-04,0.44,
2003-07,0.31,
2003-10,0.94,
2004-01,0.69,
2004-04,1.54,
2004-07,1.66,
2004-10,0.41,
2005-01,0.66,
2005-04,0.63,
2005-07,1.99,
2005-10,2.06,
2006-01,1.57,
2006-04,1.37,
2006-07,1.46,
2006-10,2.45,
2007-01,2.10,
2007-04,1.67,
2007-07,2.07,
2007-10,1.84,
2008-01,2.60,
2008-04,2.11,
2008-07,2.05,
2008-10,3.47,
2009-01,1.66,
2009-04,2.09,
2009-07,2.11,
2009-10,3.78,
2010-01,2.43,
2010-04,3.00,
2010-07,3.27,
2010-10,3.94,
2011-01,3.26,
2011-04,3.07,
2011-07,4.06,
2011-10,3.01,
2012-01,4.35,
2012-04,4.33,
2012-07,4.18,
2012-10,4.23,
2013-01,4.39,
2013-04,5.21,
2013-07,4.46,
2013-10,5.13,
2014-01,4.68,
2014-04,4.97,Provisional value
2014-07,4.82,Provisional value
2014-10,5.83,Provisional value
