"",BBK01.QUK804,BBK01.QUK804_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Norway / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:33:25,
2002-03,5.006,
2002-04,4.177,
2002-05,4.326,
2002-06,4.159,
2002-07,6.589,
2002-08,5.453,
2002-09,4.857,
2002-10,5.063,
2002-11,5.690,
2002-12,5.475,
2003-01,7.348,
2003-02,8.908,
2003-03,7.679,
2003-04,8.839,
2003-05,6.298,
2003-06,5.436,
2003-07,7.472,
2003-08,9.091,
2003-09,8.657,
2003-10,9.566,
2003-11,10.434,
2003-12,12.156,
2004-01,12.268,
2004-02,10.343,
2004-03,10.522,
2004-04,10.171,
2004-05,13.089,
2004-06,12.239,
2004-07,12.525,
2004-08,10.702,
2004-09,10.571,
2004-10,13.403,
2004-11,13.220,
2004-12,10.647,
2005-01,15.485,
2005-02,16.214,
2005-03,15.352,
2005-04,14.970,
2005-05,12.064,
2005-06,9.389,
2005-07,12.247,
2005-08,15.286,
2005-09,12.153,
2005-10,14.920,
2005-11,14.288,
2005-12,14.070,
2006-01,15.073,
2006-02,16.224,
2006-03,16.736,
2006-04,18.495,
2006-05,17.754,
2006-06,16.037,
2006-07,14.131,
2006-08,17.433,
2006-09,15.138,
2006-10,20.871,
2006-11,21.697,
2006-12,22.430,
2007-01,21.210,
2007-02,21.916,
2007-03,20.624,
2007-04,18.715,
2007-05,12.028,
2007-06,14.716,
2007-07,20.585,
2007-08,15.776,
2007-09,15.940,
2007-10,19.492,
2007-11,16.611,
2007-12,15.830,
2008-01,13.038,
2008-02,11.169,
2008-03,11.139,
2008-04,11.572,
2008-05,11.598,
2008-06,10.154,
2008-07,10.921,
2008-08,13.456,
2008-09,12.202,
2008-10,15.006,
2008-11,11.892,
2008-12,8.951,
2009-01,5.675,
2009-02,11.652,
2009-03,9.327,
2009-04,6.526,
2009-05,7.532,
2009-06,7.954,
2009-07,8.852,
2009-08,7.176,
2009-09,6.879,
2009-10,6.796,
2009-11,5.698,
2009-12,3.702,
2010-01,3.186,
2010-02,5.084,
2010-03,4.607,
2010-04,3.669,
2010-05,4.963,
2010-06,5.256,
2010-07,4.305,
2010-08,5.005,
2010-09,5.236,
2010-10,6.303,
2010-11,5.258,
2010-12,3.881,
2011-01,3.030,
2011-02,2.447,
2011-03,1.858,
2011-04,2.418,
2011-05,3.361,
2011-06,1.577,
2011-07,1.635,
2011-08,2.149,
2011-09,1.875,
2011-10,2.188,
2011-11,1.872,
2011-12,2.318,
2012-01,1.861,
2012-02,1.679,
2012-03,1.907,
2012-04,1.869,
2012-05,2.192,
2012-06,2.084,
2012-07,2.741,
2012-08,2.353,
2012-09,3.570,
2012-10,2.229,
2012-11,2.643,
2012-12,2.385,
2013-01,2.739,
2013-02,1.802,
2013-03,2.002,
2013-04,2.965,
2013-05,2.964,
2013-06,1.749,
2013-07,3.462,
2013-08,2.633,
2013-09,1.938,
2013-10,2.029,
2013-11,2.035,
2013-12,2.859,
2014-01,2.518,
2014-02,2.359,
2014-03,1.788,
2014-04,2.869,
2014-05,2.164,
2014-06,1.656,
2014-07,1.660,
2014-08,2.592,
2014-09,1.761,
2014-10,1.860,
