"",BBK01.OEAC19V,BBK01.OEAC19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:44,
2002-01,0.667,
2002-04,0.664,
2002-07,0.639,
2002-10,0.561,
2003-01,0.529,
2003-04,0.516,
2003-07,0.483,
2003-10,0.444,
2004-01,0.442,
2004-04,0.421,
2004-07,0.414,
2004-10,0.351,
2005-01,0.373,
2005-04,0.349,
2005-07,0.312,
2005-10,0.283,
2006-01,0.310,
2006-04,0.294,
2006-07,0.274,
2006-10,0.233,
2007-01,0.251,
2007-04,0.241,
2007-07,0.223,
2007-10,0.204,
2008-01,0.229,
2008-04,0.215,
2008-07,0.204,
2008-10,0.168,
2009-01,0.231,
2009-04,0.260,
2009-07,0.244,
2009-10,0.205,
2010-01,0.253,
2010-04,0.244,
2010-07,0.236,
2010-10,0.210,
2011-01,0.236,
2011-04,0.226,
2011-07,0.216,
2011-10,0.195,
2012-01,0.224,
2012-04,0.219,
2012-07,0.215,
2012-10,0.203,
2013-01,0.245,
2013-04,0.259,
2013-07,0.252,
2013-10,0.253,
2014-01,0.291,
2014-04,0.315,
2014-07,0.321,
