"",BBK01.OEAJ09U,BBK01.OEAJ09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:54,
2002-01,0.005,
2002-04,0.004,
2002-07,0.006,
2002-10,0.006,
2003-01,0.008,
2003-04,0.004,
2003-07,0.005,
2003-10,0.005,
2004-01,0.009,
2004-04,0.009,
2004-07,0.012,
2004-10,0.010,
2005-01,0.010,
2005-04,0.009,
2005-07,0.011,
2005-10,0.012,
2006-01,0.016,
2006-04,0.014,
2006-07,0.011,
2006-10,0.008,
2007-01,0.008,
2007-04,0.008,
2007-07,0.009,
2007-10,0.009,
2008-01,0.007,
2008-04,0.009,
2008-07,0.009,
2008-10,0.009,
2009-01,0.019,
2009-04,0.023,
2009-07,0.021,
2009-10,0.023,
2010-01,0.026,
2010-04,0.024,
2010-07,0.022,
2010-10,0.018,
2011-01,0.021,
2011-04,0.013,
2011-07,0.009,
2011-10,0.005,
2012-01,0.006,
2012-04,0.008,
2012-07,0.006,
2012-10,0.006,
2013-01,0.008,
2013-04,0.004,
2013-07,0.004,
2013-10,0.004,
2014-01,0.005,
2014-04,0.006,
2014-07,0.004,
