"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:33,
1991-01,26.721,
1991-04,55.405,
1991-07,-11.200,
1991-10,111.731,
1992-01,98.557,
1992-04,120.168,
1992-07,82.960,
1992-10,11.951,
1993-01,47.095,
1993-04,47.373,
1993-07,-62.771,
1993-10,232.930,
1994-01,68.304,
1994-04,-13.078,
1994-07,15.941,
1994-10,-74.089,
1995-01,49.270,
1995-04,514.337,
1995-07,-68.617,
1995-10,70.997,
1996-01,-249.585,
1996-04,-73.810,
1996-07,-13.816,
1996-10,-2.701,
1997-01,-104.382,
1997-04,-132.590,
1997-07,-0.209,
1997-10,117.025,
1998-01,208.476,
1998-04,-38.065,
1998-07,21.497,
1998-10,-60.250,
1999-01,131.662,
1999-04,93.720,
1999-07,301.764,
1999-10,-4.224,
2000-01,123.774,
2000-04,130.307,
2000-07,514.456,
2000-10,327.591,
2001-01,410.186,
2001-04,460.921,
2001-07,697.161,
2001-10,441.855,
2002-01,223.806,
2002-04,633.139,
2002-07,82.306,
2002-10,190.308,
2003-01,326.043,
2003-04,187.387,
2003-07,34.483,
2003-10,-167.864,
2004-01,-877.665,
2004-04,290.554,
2004-07,-272.594,
2004-10,507.486,
2005-01,-187.828,
2005-04,804.323,
2005-07,513.819,
2005-10,1639.138,
2006-01,-293.718,
2006-04,48.818,
2006-07,334.785,
2006-10,325.026,
2007-01,-460.432,
2007-04,-5.875,
2007-07,156.334,
2007-10,172.161,
2008-01,72.155,
2008-04,353.098,
2008-07,-72.404,
2008-10,39.566,
2009-01,73.869,
2009-04,-437.674,
2009-07,466.747,
2009-10,436.165,
2010-01,-55.436,
2010-04,-394.949,
2010-07,-396.643,
2010-10,1139.293,
2011-01,342.012,
2011-04,1262.621,
2011-07,-241.710,
2011-10,-172.265,
2012-01,-686.469,
2012-04,987.415,
2012-07,160.384,
2012-10,-774.583,
2013-01,109.913,
2013-04,577.184,
2013-07,-70.111,
2013-10,868.331,
2014-01,-17.512,Provisional value
2014-04,345.849,Provisional value
2014-07,-93.917,Provisional value
2014-10,-129.399,Provisional value
