"",BBFN1.M.DE.N.1.L.NZ.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NZ.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:50,
1975-12,-,Nothing exists
1976-01,-,Nothing exists
1976-02,-,Nothing exists
1976-03,-,Nothing exists
1976-04,-,Nothing exists
1976-05,-,Nothing exists
1976-06,0.001,
1976-07,0.001,
1976-08,-,Nothing exists
1976-09,-,Nothing exists
1976-10,-,Nothing exists
1976-11,-,Nothing exists
1976-12,-,Nothing exists
1977-01,-,Nothing exists
1977-02,-,Nothing exists
1977-03,-,Nothing exists
1977-04,-,Nothing exists
1977-05,-,Nothing exists
1977-06,-,Nothing exists
1977-07,-,Nothing exists
1977-08,-,Nothing exists
1977-09,0.001,
1977-10,-,Nothing exists
1977-11,0.001,
1977-12,0.001,
1978-01,-,Nothing exists
1978-02,-,Nothing exists
1978-03,-,Nothing exists
1978-04,-,Nothing exists
1978-05,-,Nothing exists
1978-06,0.001,
1978-07,-,Nothing exists
1978-08,-,Nothing exists
1978-09,0.001,
1978-10,-,Nothing exists
1978-11,0.001,
1978-12,-,Nothing exists
1979-01,-,Nothing exists
1979-02,0.001,
1979-03,-,Nothing exists
1979-04,-,Nothing exists
1979-05,0.001,
1979-06,-,Nothing exists
1979-07,0.001,
1979-08,-,Nothing exists
1979-09,-,Nothing exists
1979-10,-,Nothing exists
1979-11,-,Nothing exists
1979-12,-,Nothing exists
1980-01,-,Nothing exists
1980-02,-,Nothing exists
1980-03,0.001,
1980-04,-,Nothing exists
1980-05,-,Nothing exists
1980-06,-,Nothing exists
1980-07,0.001,
1980-08,0.001,
1980-09,0.001,
1980-10,0.001,
1980-11,0.001,
1980-12,0.001,
1981-01,0.001,
1981-02,0.001,
1981-03,0.001,
1981-04,-,Nothing exists
1981-05,0.001,
1981-06,0.001,
1981-07,0.001,
1981-08,0.001,
1981-09,0.001,
1981-10,0.001,
1981-11,0.001,
1981-12,0.001,
1982-01,-,Nothing exists
1982-02,0.001,
1982-03,-,Nothing exists
1982-04,0.001,
1982-05,0.002,
1982-06,0.002,
1982-07,0.003,
1982-08,0.001,
1982-09,0.001,
1982-10,0.001,
1982-11,0.001,
1982-12,0.001,
1983-01,0.002,
1983-02,0.002,
1983-03,0.001,
1983-04,0.001,
1983-05,0.001,
1983-06,0.003,
1983-07,0.007,
1983-08,0.007,
1983-09,0.005,
1983-10,0.005,
1983-11,0.005,
1983-12,0.005,
1984-01,0.005,
1984-02,0.005,
1984-03,0.005,
1984-04,0.005,
1984-05,0.001,
1984-06,0.001,
1984-07,0.002,
