"",BBK01.OEAH12J,BBK01.OEAH12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:59,
2002-01,4.470,
2002-04,4.363,
2002-07,4.374,
2002-10,4.570,
2003-01,4.718,
2003-04,4.758,
2003-07,4.846,
2003-10,4.990,
2004-01,5.070,
2004-04,5.111,
2004-07,5.554,
2004-10,5.399,
2005-01,5.708,
2005-04,5.762,
2005-07,5.753,
2005-10,5.875,
2006-01,5.891,
2006-04,5.825,
2006-07,5.726,
2006-10,5.624,
2007-01,5.368,
2007-04,5.171,
2007-07,4.960,
2007-10,4.926,
2008-01,4.738,
2008-04,4.562,
2008-07,4.353,
2008-10,4.438,
2009-01,4.643,
2009-04,4.630,
2009-07,4.686,
2009-10,4.879,
2010-01,4.926,
2010-04,4.890,
2010-07,4.891,
2010-10,4.939,
2011-01,4.913,
2011-04,4.873,
2011-07,4.832,
2011-10,4.896,
2012-01,5.000,
2012-04,5.051,
2012-07,5.083,
2012-10,5.210,
2013-01,5.274,
2013-04,5.283,
2013-07,5.290,
2013-10,5.365,
2014-01,5.146,
2014-04,5.091,
2014-07,5.059,
