"",BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:40,
1991-01,222.230,
1991-04,278.779,
1991-07,250.986,
1991-10,119.331,
1992-01,-87.186,
1992-04,-114.779,
1992-07,-52.544,
1992-10,-265.085,
1993-01,-195.641,
1993-04,-321.352,
1993-07,-221.491,
1993-10,-533.495,
1994-01,-336.147,
1994-04,-517.455,
1994-07,-360.016,
1994-10,-540.318,
1995-01,-347.102,
1995-04,-542.905,
1995-07,-379.236,
1995-10,-700.069,
1996-01,-721.005,
1996-04,-798.855,
1996-07,-496.051,
1996-10,-1156.963,
1997-01,-91.316,
1997-04,-335.242,
1997-07,-61.013,
1997-10,-106.610,
1998-01,-46.345,
1998-04,-258.334,
1998-07,-39.652,
1998-10,-101.246,
1999-01,-620.998,
1999-04,-575.100,
1999-07,-591.142,
1999-10,-856.869,
2000-01,-2273.606,
2000-04,-1978.232,
2000-07,-1909.930,
2000-10,-2083.175,
2001-01,-4575.960,
2001-04,-5992.001,
2001-07,-4042.694,
2001-10,-4004.924,
2002-01,-1121.990,
2002-04,-2592.745,
2002-07,-613.097,
2002-10,-2341.300,
2003-01,383.639,
2003-04,-3199.233,
2003-07,-608.613,
2003-10,-214.947,
2004-01,-1539.805,
2004-04,196.936,
2004-07,1390.042,
2004-10,220.173,
2005-01,2350.106,
2005-04,-482.530,
2005-07,2105.290,
2005-10,609.505,
2006-01,30.999,
2006-04,-2148.560,
2006-07,675.032,
2006-10,-1512.558,
2007-01,4385.150,
2007-04,-1885.143,
2007-07,1446.161,
2007-10,-250.670,
2008-01,-4534.684,
2008-04,-2645.804,
2008-07,-2975.977,
2008-10,-3260.818,
2009-01,-1662.239,
2009-04,-3001.094,
2009-07,-2310.876,
2009-10,-4669.037,
2010-01,2517.491,
2010-04,-1435.207,
2010-07,2717.287,
2010-10,-1056.937,
2011-01,1494.883,
2011-04,-2776.251,
2011-07,-1867.170,
2011-10,-873.517,
2012-01,2259.090,
2012-04,-1716.393,
2012-07,131.553,
2012-10,-377.604,
2013-01,2314.679,
2013-04,-2609.811,
2013-07,279.048,
2013-10,-458.510,
2014-01,1841.445,Provisional value
2014-04,-721.536,Provisional value
2014-07,1161.415,Provisional value
2014-10,-149.987,Provisional value
