"",BBK01.OEXJ05O,BBK01.OEXJ05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:50,
2002-01,-6.208,
2002-04,-6.140,
2002-07,-6.029,
2002-10,-6.279,
2003-01,-6.299,
2003-04,-6.103,
2003-07,-6.350,
2003-10,-6.541,
2004-01,-6.712,
2004-04,-6.860,
2004-07,-7.452,
2004-10,-7.328,
2005-01,0.072,
2005-04,0.069,
2005-07,0.094,
2005-10,0.096,
2006-01,0.084,
2006-04,0.052,
2006-07,0.237,
2006-10,0.247,
2007-01,0.213,
2007-04,0.345,
2007-07,0.347,
2007-10,0.361,
2008-01,0.366,
2008-04,0.372,
2008-07,0.384,
2008-10,0.387,
2009-01,0.773,
2009-04,0.754,
2009-07,0.704,
2009-10,0.788,
2010-01,0.341,
2010-04,0.431,
2010-07,0.290,
2010-10,0.202,
2011-01,0.062,
2011-04,0.071,
2011-07,0.071,
2011-10,0.066,
2012-01,0.039,
2012-04,0.052,
2012-07,0.063,
2012-10,0.067,
2013-01,0.088,
2013-04,0.240,
2013-07,0.191,
2013-10,0.197,
2014-01,0.171,
2014-04,0.177,
2014-07,0.166,
