"",BBK01.OEAN01S,BBK01.OEAN01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:14,
2002-01,10.727,
2002-04,10.508,
2002-07,10.526,
2002-10,10.871,
2003-01,10.935,
2003-04,10.813,
2003-07,10.791,
2003-10,11.000,
2004-01,10.954,
2004-04,10.790,
2004-07,10.726,
2004-10,10.898,
2005-01,11.839,
2005-04,11.744,
2005-07,11.762,
2005-10,11.961,
2006-01,12.077,
2006-04,12.002,
2006-07,11.897,
2006-10,12.056,
2007-01,12.203,
2007-04,12.170,
2007-07,12.186,
2007-10,12.452,
2008-01,12.386,
2008-04,12.341,
2008-07,12.191,
2008-10,12.555,
2009-01,12.584,
2009-04,12.596,
2009-07,12.735,
2009-10,13.043,
2010-01,13.202,
2010-04,13.269,
2010-07,13.337,
2010-10,13.698,
2011-01,13.808,
2011-04,13.730,
2011-07,13.751,
2011-10,13.945,
2012-01,14.033,
2012-04,14.009,
2012-07,14.004,
2012-10,14.178,
2013-01,14.201,
2013-04,14.163,
2013-07,14.198,
2013-10,14.379,
2014-01,14.447,
2014-04,14.426,
2014-07,14.536,
