"",BBK01.OEAC21R,BBK01.OEAC21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:57,
2002-01,0.075,
2002-04,0.094,
2002-07,0.081,
2002-10,0.077,
2003-01,0.089,
2003-04,0.101,
2003-07,0.092,
2003-10,0.062,
2004-01,0.078,
2004-04,0.094,
2004-07,0.085,
2004-10,0.055,
2005-01,0.065,
2005-04,0.077,
2005-07,0.078,
2005-10,0.052,
2006-01,0.069,
2006-04,0.088,
2006-07,0.073,
2006-10,0.046,
2007-01,0.057,
2007-04,0.079,
2007-07,0.064,
2007-10,0.053,
2008-01,0.057,
2008-04,0.084,
2008-07,0.071,
2008-10,0.048,
2009-01,0.054,
2009-04,0.081,
2009-07,0.083,
2009-10,0.073,
2010-01,0.062,
2010-04,0.083,
2010-07,0.075,
2010-10,0.063,
2011-01,0.073,
2011-04,0.083,
2011-07,0.086,
2011-10,0.069,
2012-01,0.075,
2012-04,0.098,
2012-07,0.086,
2012-10,0.066,
2013-01,0.069,
2013-04,0.089,
2013-07,0.077,
2013-10,0.059,
2014-01,0.058,
2014-04,0.082,
2014-07,0.084,
