"",BBK01.OEXB19N,BBK01.OEXB19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:03,
2002-01,7.317,
2002-04,7.211,
2002-07,7.618,
2002-10,7.168,
2003-01,7.509,
2003-04,8.018,
2003-07,8.349,
2003-10,9.117,
2004-01,8.894,
2004-04,9.572,
2004-07,10.569,
2004-10,8.963,
2005-01,8.785,
2005-04,9.217,
2005-07,8.815,
2005-10,8.782,
2006-01,7.907,
2006-04,7.912,
2006-07,7.991,
2006-10,8.022,
2007-01,7.700,
2007-04,7.858,
2007-07,7.698,
2007-10,7.913,
2008-01,8.003,
2008-04,8.213,
2008-07,7.843,
2008-10,8.031,
2009-01,7.821,
2009-04,8.251,
2009-07,8.505,
2009-10,8.600,
2010-01,8.655,
2010-04,8.638,
2010-07,8.749,
2010-10,8.910,
2011-01,9.018,
2011-04,9.115,
2011-07,9.198,
2011-10,8.726,
2012-01,8.482,
2012-04,8.349,
2012-07,8.371,
2012-10,8.383,
2013-01,8.520,
2013-04,8.560,
2013-07,8.635,
2013-10,8.654,
2014-01,8.548,
2014-04,8.764,
2014-07,8.918,
