"",BBK01.OEAD09N,BBK01.OEAD09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:26,
2002-01,1.974,
2002-04,1.983,
2002-07,1.982,
2002-10,1.818,
2003-01,1.732,
2003-04,1.715,
2003-07,1.652,
2003-10,1.488,
2004-01,1.440,
2004-04,1.408,
2004-07,1.410,
2004-10,1.321,
2005-01,1.291,
2005-04,1.300,
2005-07,1.241,
2005-10,1.146,
2006-01,1.157,
2006-04,1.184,
2006-07,1.171,
2006-10,1.124,
2007-01,1.148,
2007-04,1.186,
2007-07,1.149,
2007-10,1.149,
2008-01,1.111,
2008-04,1.152,
2008-07,1.215,
2008-10,1.176,
2009-01,1.128,
2009-04,1.174,
2009-07,1.029,
2009-10,0.979,
2010-01,0.967,
2010-04,0.968,
2010-07,0.994,
2010-10,0.950,
2011-01,0.977,
2011-04,1.016,
2011-07,0.990,
2011-10,0.934,
2012-01,0.897,
2012-04,0.847,
2012-07,0.823,
2012-10,0.802,
2013-01,0.910,
2013-04,0.939,
2013-07,0.915,
2013-10,0.904,
2014-01,0.869,
2014-04,0.890,
2014-07,0.894,
