"",BBK01.OEXL01L,BBK01.OEXL01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:48,
2002-01,18.689,
2002-04,21.448,
2002-07,24.035,
2002-10,26.380,
2003-01,32.061,
2003-04,35.375,
2003-07,35.974,
2003-10,35.783,
2004-01,41.155,
2004-04,48.658,
2004-07,50.232,
2004-10,53.410,
2005-01,53.519,
2005-04,56.492,
2005-07,56.328,
2005-10,58.060,
2006-01,58.773,
2006-04,60.378,
2006-07,60.535,
2006-10,61.449,
2007-01,62.399,
2007-04,63.461,
2007-07,63.479,
2007-10,64.555,
2008-01,65.229,
2008-04,66.348,
2008-07,67.846,
2008-10,63.531,
2009-01,66.665,
2009-04,66.306,
2009-07,73.260,
2009-10,76.288,
2010-01,78.218,
2010-04,79.992,
2010-07,80.264,
2010-10,83.624,
2011-01,88.137,
2011-04,88.066,
2011-07,88.593,
2011-10,90.844,
2012-01,94.818,
2012-04,99.316,
2012-07,106.329,
2012-10,112.324,
2013-01,119.014,
2013-04,121.122,
2013-07,123.869,
2013-10,128.217,
2014-01,132.145,
2014-04,134.775,
2014-07,135.644,
