"",BBNZ1.A.DE.N.H.0111.L,BBNZ1.A.DE.N.H.0111.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Imports of goods and services (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:46,
1960,5.74,
1961,6.19,
1962,6.87,
1963,7.21,
1964,7.88,
1965,9.00,
1966,9.24,
1967,9.12,
1968,10.32,
1969,12.08,
1970,14.82,
1971,15.91,
1972,16.94,
1973,17.56,
1974,17.64,
1975,18.16,
1976,20.13,
1977,20.87,
1978,22.01,
1979,24.12,
1980,24.87,
1981,24.13,
1982,23.94,
1983,24.59,
1984,25.89,
1985,26.93,
1986,27.80,
1987,29.07,
1988,30.67,
1989,33.30,
1990,36.89,
1991,40.91,
1992,42.20,
1993,39.44,
1994,42.68,
1995,45.70,
1996,47.53,
1997,51.85,
1998,56.71,
1999,61.72,
2000,68.43,
2001,69.02,
2002,67.27,
2003,71.12,
2004,76.76,
2005,81.20,
2006,90.24,
2007,95.87,
2008,98.02,
2009,88.61,
2010,100.00,
2011,107.15,
2012,107.13,
2013,110.48,
2014,114.19,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
