"",BBK01.OEAH47K,BBK01.OEAH47K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:46,
2002-01,0.058,
2002-04,0.060,
2002-07,0.118,
2002-10,0.112,
2003-01,0.140,
2003-04,0.143,
2003-07,0.130,
2003-10,0.137,
2004-01,0.049,
2004-04,0.050,
2004-07,0.252,
2004-10,0.063,
2005-01,0.042,
2005-04,0.045,
2005-07,0.055,
2005-10,0.048,
2006-01,0.029,
2006-04,0.043,
2006-07,0.035,
2006-10,0.022,
2007-01,0.021,
2007-04,0.029,
2007-07,0.030,
2007-10,0.063,
2008-01,0.070,
2008-04,0.067,
2008-07,0.077,
2008-10,0.071,
2009-01,0.074,
2009-04,0.078,
2009-07,0.092,
2009-10,0.088,
2010-01,0.082,
2010-04,0.082,
2010-07,0.070,
2010-10,0.073,
2011-01,0.077,
2011-04,0.092,
2011-07,0.088,
2011-10,0.109,
2012-01,0.106,
2012-04,0.101,
2012-07,0.107,
2012-10,0.093,
2013-01,0.093,
2013-04,0.083,
2013-07,0.098,
2013-10,0.089,
2014-01,0.063,
2014-04,0.080,
2014-07,0.054,
