"",BBK01.CEBDX0,BBK01.CEBDX0_FLAGS
"",Currency and transferable deposits debtor: Other financial intermediaries                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:22,
1997-10,0.5,
1998-01,0.6,
1998-04,0.3,
1998-07,0.4,
1998-10,0.4,
1999-01,0.3,
1999-04,0.6,
1999-07,0.4,
1999-10,0.4,
2000-01,0.4,
2000-04,0.7,
2000-07,0.5,
2000-10,0.6,
2001-01,0.8,
2001-04,0.5,
2001-07,0.7,
2001-10,0.7,
2002-01,0.9,
2002-04,0.6,
2002-07,0.5,
2002-10,0.6,
2003-01,0.4,
2003-04,2.4,
2003-07,1.7,
2003-10,1.9,
2004-01,1.9,
2004-04,2.0,
2004-07,2.2,
2004-10,1.7,
2005-01,2.2,
2005-04,2.1,
2005-07,2.1,
2005-10,1.8,
2006-01,2.8,
2006-04,3.1,
2006-07,2.2,
2006-10,2.4,
2007-01,3.2,
2007-04,3.0,
2007-07,2.6,
2007-10,4.9,
2008-01,3.3,
2008-04,5.3,
2008-07,10.8,
2008-10,10.8,
2009-01,8.8,
2009-04,7.9,
2009-07,7.0,
2009-10,5.3,
2010-01,4.5,
2010-04,7.0,
2010-07,6.3,
2010-10,7.1,
2011-01,6.1,
2011-04,6.1,
2011-07,17.6,
2011-10,15.0,
2012-01,15.0,
2012-04,18.5,
2012-07,19.1,
2012-10,20.7,
2013-01,17.8,
2013-04,18.8,
2013-07,18.8,
2013-10,17.9,
2014-01,21.1,
