"",BBSF2.M.1.T.00000.DRE01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:33,
2009-09,25,
2009-10,25,
2009-11,26,
2009-12,28,
2010-01,28,
2010-02,29,
2010-03,31,
2010-04,32,
2010-05,34,
2010-06,35,
2010-07,41,
2010-08,45,
2010-09,47,
2010-10,50,
2010-11,51,
2010-12,54,
2011-01,55,
2011-02,57,
2011-03,58,
2011-04,61,
2011-05,58,
2011-06,57,
2011-07,54,
2011-08,53,
2011-09,53,
2011-10,59,
2011-11,57,
2011-12,62,
2012-01,64,
2012-02,67,
2012-03,66,
2012-04,65,
2012-05,64,
2012-06,68,
2012-07,73,
2012-08,75,
2012-09,78,
2012-10,79,
2012-11,83,
2012-12,88,
2013-01,91,
2013-02,92,
2013-03,97,
2013-04,102,
2013-05,104,
2013-06,91,
2013-07,102,
2013-08,103,
2013-09,104,
2013-10,105,
2013-11,113,
2013-12,115,
2014-01,114,
2014-02,124,
2014-03,124,
2014-04,118,
2014-05,117,
2014-06,116,
2014-07,117,
2014-08,122,
2014-09,124,
2014-10,127,
2014-11,133,
