"",BBSF2.M.1.S.00000.AKT01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:27,
2009-09,250,
2009-10,762,
2009-11,356,
2009-12,916,
2010-01,409,
2010-02,507,
2010-03,1663,
2010-04,891,
2010-05,568,
2010-06,683,
2010-07,484,
2010-08,195,
2010-09,671,
2010-10,866,
2010-11,963,
2010-12,743,
2011-01,395,
2011-02,954,
2011-03,405,
2011-04,356,
2011-05,438,
2011-06,451,
2011-07,683,
2011-08,664,
2011-09,537,
2011-10,201,
2011-11,1004,
2011-12,1139,
2012-01,3309,
2012-02,429,
2012-03,296,
2012-04,1368,
2012-05,950,
2012-06,171,
2012-07,356,
2012-08,1824,
2012-09,310,
2012-10,811,
2012-11,1363,
2012-12,2931,
2013-01,1058,
2013-02,645,
2013-03,2739,
2013-04,1786,
2013-05,1763,
2013-06,493,
2013-07,917,
2013-08,1249,
2013-09,675,
2013-10,1045,
2013-11,1037,
2013-12,2042,
2014-01,748,
2014-02,920,
2014-03,242,
2014-04,5043,
2014-05,463,
2014-06,1391,
2014-07,1354,
2014-08,712,
2014-09,398,
2014-10,1091,
2014-11,6112,
