"",BBFB1.Q.N.DE.R5.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:33,
1991-01,1796.840,
1991-04,1943.885,
1991-07,2596.300,
1991-10,3034.882,
1992-01,2716.162,
1992-04,2627.872,
1992-07,2665.106,
1992-10,2627.225,
1993-01,2014.061,
1993-04,1848.063,
1993-07,1929.436,
1993-10,2270.276,
1994-01,2016.298,
1994-04,1987.759,
1994-07,1686.517,
1994-10,1905.953,
1995-01,1853.928,
1995-04,1661.855,
1995-07,1621.268,
1995-10,1933.092,
1996-01,1754.430,
1996-04,1764.977,
1996-07,1893.303,
1996-10,2071.330,
1997-01,1838.804,
1997-04,2073.153,
1997-07,2214.729,
1997-10,2247.257,
1998-01,2536.464,
1998-04,2256.530,
1998-07,2365.994,
1998-10,2485.939,
1999-01,2178.390,
1999-04,2233.431,
1999-07,2409.875,
1999-10,2695.154,
2000-01,2478.227,
2000-04,2523.906,
2000-07,2955.404,
2000-10,3234.626,
2001-01,3327.425,
2001-04,3311.912,
2001-07,3518.530,
2001-10,3797.372,
2002-01,3468.780,
2002-04,3875.563,
2002-07,3737.366,
2002-10,4031.606,
2003-01,3874.125,
2003-04,3480.574,
2003-07,3931.179,
2003-10,3782.455,
2004-01,4091.162,
2004-04,4448.351,
2004-07,4509.058,
2004-10,4670.269,
2005-01,4971.353,
2005-04,5078.143,
2005-07,5585.676,
2005-10,5729.819,
2006-01,5687.503,
2006-04,5560.956,
2006-07,6135.254,
2006-10,6920.354,
2007-01,6631.249,
2007-04,6056.594,
2007-07,6467.349,
2007-10,6819.217,
2008-01,7206.846,
2008-04,7330.068,
2008-07,7907.414,
2008-10,9583.778,
2009-01,7033.274,
2009-04,6211.041,
2009-07,6366.759,
2009-10,7150.211,
2010-01,6354.732,
2010-04,6964.397,
2010-07,8413.438,
2010-10,8021.893,
2011-01,6835.983,
2011-04,6591.477,
2011-07,6528.746,
2011-10,8615.059,
2012-01,7133.322,
2012-04,7931.255,
2012-07,8550.597,
2012-10,9303.700,
2013-01,7788.399,
2013-04,8283.646,
2013-07,8272.563,
2013-10,9687.333,
2014-01,8442.792,Provisional value
2014-04,9074.252,Provisional value
2014-07,8704.721,Provisional value
