"",BBK01.OECM01J,BBK01.OECM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:22,
2002-01,0.033,
2002-04,0.025,
2002-07,0.032,
2002-10,0.038,
2003-01,0.027,
2003-04,0.009,
2003-07,0.016,
2003-10,0.015,
2004-01,0.006,
2004-04,0.013,
2004-07,0.012,
2004-10,0.034,
2005-01,0.033,
2005-04,0.026,
2005-07,0.041,
2005-10,0.008,
2006-01,0.018,
2006-04,0.018,
2006-07,0.023,
2006-10,0.023,
2007-01,0.019,
2007-04,0.016,
2007-07,0.016,
2007-10,0.019,
2008-01,0.019,
2008-04,0.015,
2008-07,0.019,
2008-10,0.043,
2009-01,0.035,
2009-04,0.031,
2009-07,0.033,
2009-10,0.039,
2010-01,0.029,
2010-04,0.027,
2010-07,0.032,
2010-10,0.024,
2011-01,0.039,
2011-04,0.052,
2011-07,0.078,
2011-10,0.073,
2012-01,0.071,
2012-04,0.225,
2012-07,0.215,
2012-10,0.253,
2013-01,0.236,
2013-04,0.182,
2013-07,0.168,
2013-10,0.135,
2014-01,0.150,
2014-04,0.101,
2014-07,0.085,
