"",BBK01.OEBK04O,BBK01.OEBK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:12,
2002-01,0.057,
2002-04,0.050,
2002-07,0.039,
2002-10,0.057,
2003-01,0.056,
2003-04,0.045,
2003-07,0.055,
2003-10,0.021,
2004-01,0.030,
2004-04,0.046,
2004-07,0.037,
2004-10,0.032,
2005-01,0.078,
2005-04,0.082,
2005-07,0.073,
2005-10,0.102,
2006-01,0.089,
2006-04,0.114,
2006-07,0.136,
2006-10,0.159,
2007-01,0.160,
2007-04,0.159,
2007-07,0.192,
2007-10,0.193,
2008-01,0.205,
2008-04,0.223,
2008-07,0.241,
2008-10,0.233,
2009-01,0.182,
2009-04,0.147,
2009-07,0.104,
2009-10,0.094,
2010-01,0.083,
2010-04,0.147,
2010-07,0.088,
2010-10,0.075,
2011-01,0.069,
2011-04,0.061,
2011-07,0.073,
2011-10,0.061,
2012-01,0.055,
2012-04,0.046,
2012-07,0.030,
2012-10,0.018,
2013-01,0.015,
2013-04,0.014,
2013-07,0.014,
2013-10,0.010,
2014-01,0.012,
2014-04,0.021,
2014-07,0.020,
