"",BBK01.OEBB17O,BBK01.OEBB17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:54,
2002-01,-9.337,
2002-04,-9.786,
2002-07,-10.148,
2002-10,-10.794,
2003-01,-11.248,
2003-04,-11.760,
2003-07,-12.376,
2003-10,-12.841,
2004-01,-13.237,
2004-04,-14.888,
2004-07,-18.519,
2004-10,-19.641,
2005-01,4.825,
2005-04,4.903,
2005-07,4.977,
2005-10,5.075,
2006-01,5.106,
2006-04,5.015,
2006-07,5.094,
2006-10,5.167,
2007-01,5.192,
2007-04,5.351,
2007-07,5.354,
2007-10,5.313,
2008-01,5.320,
2008-04,5.358,
2008-07,5.378,
2008-10,5.354,
2009-01,5.442,
2009-04,6.257,
2009-07,6.283,
2009-10,6.272,
2010-01,6.306,
2010-04,6.327,
2010-07,6.486,
2010-10,6.381,
2011-01,6.346,
2011-04,6.328,
2011-07,6.353,
2011-10,6.285,
2012-01,6.696,
2012-04,6.914,
2012-07,6.819,
2012-10,6.751,
2013-01,6.733,
2013-04,6.749,
2013-07,6.779,
2013-10,6.552,
2014-01,6.581,
2014-04,6.648,
2014-07,6.719,
